Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-30.1119354,153.1895662,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 962 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.96,Woolgoolga Coastal Chemist,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.989028
-30.5118543,151.6619591,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 155 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.16,TerryWhite Chemmart Armidale,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.990029
-33.2648843,151.5390692,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 110 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.11,Cincotta Discount Chemist Toukley,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.992029
-33.2635721,151.4659924,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 201 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.20,Wadalba Pharmacy,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.993029
-33.8846881,151.26863,,Item 133,"Supermarket 'Woolworths Metro' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 460 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.46,Glenayr Pharmacy,Woolworths Metro,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.994028
-33.3735264,151.4727425,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 143 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.14,TerryWhite Chemmart Bateau Bay,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.995028
-33.3848787,148.0055915,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 184 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.18,Life Pharmacy Forbes,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.996028
-33.1353193,148.173401,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 117 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.12,Ron Dunford Chemist,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.997028
-32.8199257,151.4781814,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 377 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.38,Your Discount Chemist Kurri Kurri,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.998029
-29.7738358,151.1102458,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 251 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.25,Campbell & Freebairn Chemists,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:57.999029
