latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-27.7464648,140.7366777,"RFDS Clinic Innamincka, Browne Street, Innamincka, Pastoral Unincorporated Area, South Australia, 5731, Australia",RFDS Clinic Innamincka,gp,SA,"Item 131, Item 134A",90%,371.53,Quilpie Pharmacy,20,20,0,0,0.8,208,0.0,True,,,5280.0,312696.0,-307416.0,657500,-0.4676,999.0,-2694226.61,3696.0,-354629.28,-0.5394,-3007029.28,6864.0,-275560.32,-0.4191,-2483172.82
-33.8645692,138.0066256,,Bute Corner Store,supermarket,SA,Item 131,70%,29.21,Priceline Pharmacy,228,228,0,0,0.8,2371,0.0,True,,,60192.0,351134.4,-290942.4,657500,-0.4425,999.0,-2585083.89,42134.4,-347133.79,-0.528,-2957369.34,78249.6,-249147.65,-0.3789,-2308180.66
-33.4985739,138.6076676,,Spalding General Store,supermarket,SA,"Item 131, Item 133",70%,32.54,Jamestown Pharmacy,194,194,0,0,0.8,2017,0.0,True,,,51216.0,344851.2,-293635.2,657500,-0.4466,999.0,-2602924.53,35851.2,-348359.02,-0.5298,-2965486.83,66580.8,-253465.1,-0.3855,-2336785.15
-33.9121228,136.569823,,Arno Bay Supermarket - Friendly Grocer,supermarket,SA,Item 131,70%,24.43,Cleve Pharmacy,219,219,0,0,0.8,2277,0.0,True,,,57816.0,349471.2,-291655.2,657500,-0.4436,999.0,-2589806.41,40471.2,-347458.12,-0.5285,-2959518.08,75160.8,-250290.5,-0.3807,-2315752.43
-33.2330901,134.6729435,,Venus Bay General Store,supermarket,SA,Item 131,70%,50.36,Elliston Pharmacy,91,91,0,0,0.8,946,0.0,True,,,24024.0,325816.8,-301792.8,657500,-0.459,999.0,-2656971.16,16816.8,-352070.72,-0.5355,-2990078.05,31231.2,-266544.46,-0.4054,-2423439.92
-33.2699585,138.3566079,"IGA Gladstone, 48, Gladstone Street, Gladstone, Northern Areas Council, South Australia, 5473, Australia",IGA Gladstone,supermarket,SA,"Item 131, Item 133",85%,11.53,Chris Ramsay Chemist,740,740,0,0,0.8,7696,0.0,True,,,195360.0,445752.0,-250392.0,657500,-0.3808,999.0,-2316424.88,136752.0,-328683.36,-0.4999,-2835129.49,253968.0,-184131.84,-0.28,-1877430.71
-32.5823507,139.5621351,,RFDS Clinic Yunta,gp,SA,Item 131,70%,80.65,Peterborough Pharmacy,49,49,0,0,0.8,509,0.0,True,,,12936.0,318055.2,-305119.2,657500,-0.4641,999.0,-2679009.6,9055.2,-353584.24,-0.5378,-3000105.53,16816.8,-271877.78,-0.4135,-2458774.88
-35.013450000000006,138.55534999999998,"Township Road, Marion, Adelaide, City of Marion, South Australia, 5043, Australia",Marion Medical Centre,medical_centre,SA,"Item 132, Item 136",95%,0.87,Mitchell Park Pharmacy,719429,50000,35,91,0.2,130000,8.0,False,,,3600000.0,2924000.0,676000.0,657500,1.0281,0.97,3821210.25,2520000.0,26800.0,0.0408,-479941.66,4680000.0,1368000.0,2.0806,8405925.47
-34.1805568,140.78281116666668,,IGA Local Grocer,supermarket,SA,"Item 130, Item 133",75%,3.13,Priceline Pharmacy Renmark,5729,5729,2,2,0.3,22343,0.0,False,,,567171.0,706019.7,-138848.7,657500,-0.2112,999.0,-1577415.82,397019.7,-277931.16,-0.4227,-2498880.37,737322.3,-5290.75,-0.008,-692552.86
-34.9348279,138.52332,,ALDI,supermarket,SA,Item 133,70%,1.11,TerryWhite Chemmart Fulham,1044964,50000,31,148,0.2,130000,0.0,False,,,3300000.0,2714000.0,586000.0,657500,0.8913,1.12,3224932.26,2310000.0,-14150.0,-0.0215,-751248.15,4290000.0,1223700.0,1.8611,7449893.09
