osm_id,name,brand,brand_classified,lat,lon,area_sqm,address,operator,source
node/4678180524,Foodworks,Foodworks,foodworks,-37.7915665,145.0938599,,"293 Doncaster Road, Balwyn North, VIC, 3104",,node
node/4682772708,Crabbes Creek General Store,,independent,-28.456129,153.4962157,,,,node
node/4684563989,Woolworths,Woolworths,woolworths,-31.6538382,116.6724445,,WA,Woolworths Group,node
node/4687819937,Drakes,Drakes,drakes,-34.9523894,138.6357268,,297 Glen Osmond Road,,node
node/4687994743,Aldi,Aldi,aldi,-27.4498509,153.0409461,,"650 Wickham Street, Fortitude Valley, 4006",,node
node/4687999195,IGA,IGA,iga,-34.8270266,148.909646,,,,node
node/4690477799,Aldi,Aldi,aldi,-32.0000778,115.9847958,,"338 Hale Road, Wattle Grove, WA, 6107",Aldi Australia,node
node/4693078989,Foodworks,Foodworks,foodworks,-37.7646416,144.9441587,,,,node
node/4694394100,Hastings Point General Store,,independent,-28.3614808,153.5757371,,,,node
node/4696381198,Foodworks,Foodworks,foodworks,-28.3950425,153.5634222,,,,node
node/4700169684,Coles,Coles,coles,-28.5242473,153.546475,,82 Rajah Road,,node
node/4703398367,Woolworths,Woolworths,woolworths,-31.7779451,115.9880348,,,Woolworths Group,node
node/4704609418,,,independent,-34.9242834,138.55574,,,,node
node/4709207011,Coles,Coles,coles,-37.6213295,145.0064283,,315A Harvest Home Road,Coles Group,node
node/4712559589,IGA,IGA,iga,-36.9971359,144.0690049,,,,node
node/4714968145,IGA,IGA,iga,-31.7826427,115.7889746,,,,node
node/4719464595,Foodworks,Foodworks,foodworks,-31.1896836,152.9775092,,,,node
node/4719464839,Aldi,Aldi,aldi,-31.080106,152.8401101,,15-33 Belgrave Street,,node
node/4723686975,Woolworths,Woolworths,woolworths,-32.0100081,151.9572587,,,Woolworths Group,node
node/4726070876,IGA,IGA,iga,-32.0529511,115.8071047,,70 Archibald Street,,node
node/4726284820,Woolworths,Woolworths,woolworths,-32.1568309,115.860352,,WA,Woolworths Group,node
node/4726954290,Aldi,Aldi,aldi,-27.0725921,153.1622456,,132-150 Goodwin Drive,,node
