Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score,Growth Indicator,Growth Details
-12.3217551,133.0548208,,"Item 131, Item 134A","Near 'Gunbalanya Health Centre' (gp); straight-line 213.97 km, est. route 278.16 km from nearest pharmacy | Very remote -- 'Gunbalanya Health Centre' (gp) is 213.97 km from nearest pharmacy (threshold 90 km)",90%,213.97,TerryWhite Chemmart Humpty Doo,Gunbalanya Health Centre,gp,NT,2026-02-14T21:57:47.554438,1153,1153,1153,Gunbalanya,1153,0.35,1556.5,0,0,0,0,0,0.0,,246707.4,,
-42.1224456,148.2845945,,"Item 131, Item 134A","Near 'Supermarket' (supermarket); straight-line 202.88 km, est. route 263.74 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Milingimbi Health Centre' (gp); straight-line 202.83 km, est. route 263.68 km from nearest pharmacy | Very remote -- 'Supermarket' (supermarket) is 202.88 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Milingimbi Health Centre' (gp) is 202.83 km from nearest pharmacy (threshold 90 km)",90%,202.88,Gove Pharmacy,Supermarket,supermarket,NT,2026-02-14T21:57:47.483439,1097,1097,1097,Milingimbi,1097,0.28,1481.0,0,0,0,0,0,0.0,,222559.4,,
-18.337827,130.6401304,,"Item 131, Item 134A","Near 'Lajamanu Health Centre' (gp); straight-line 313.93 km, est. route 408.11 km from nearest pharmacy | Very remote -- 'Lajamanu Health Centre' (gp) is 313.93 km from nearest pharmacy (threshold 90 km)",90%,313.93,Halls Creek Pharmacy,Lajamanu Health Centre,gp,NT,2026-02-14T21:57:47.493439,653,654,654,Lajamanu,653,0.5,882.9,0,0,0,0,0,0.0,,205310.2,,
-18.3356777,130.6374637,"Lajamanu Store, Lajamanu Road, Lajamanu, Central Desert Region, Northern Territory, Australia","Item 131, Item 134A","Near 'Lajamanu Store' (supermarket); straight-line 313.64 km, est. route 407.73 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Lajamanu Store' (supermarket) is 313.64 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,313.64,Halls Creek Pharmacy,Lajamanu Store,supermarket,NT,2026-02-14T21:57:47.471438,653,654,654,Lajamanu,653,0.16,882.9,0,0,0,0,0,0.0,,205120.6,,
-22.2534182,131.7950398,"Yuendumu Store, Conniston Road, Yuendumu, Central Desert Region, Northern Territory, Australia","Item 131, Item 134A","Near 'Yuendumu Store' (supermarket); straight-line 265.72 km, est. route 345.44 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Yuendumu Store' (supermarket) is 265.72 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,265.72,United Chemists Northside Pharmacy NT,Yuendumu Store,supermarket,NT,2026-02-14T21:57:47.470439,740,740,742,Yuendumu,740,0.3,999.0,0,0,0,0,0,0.0,,196632.8,,
-22.2554579,131.7966124,,"Item 131, Item 134A","Near 'Yuendumu Health Centre' (gp); straight-line 265.46 km, est. route 345.09 km from nearest pharmacy | Very remote -- 'Yuendumu Health Centre' (gp) is 265.46 km from nearest pharmacy (threshold 90 km)",90%,265.46,United Chemists Northside Pharmacy NT,Yuendumu Health Centre,gp,NT,2026-02-14T21:57:47.492438,740,740,742,Yuendumu,740,0.33,999.0,0,0,0,0,0,0.0,,196440.4,,
-23.2755176,129.38779565,"Kintore Health Centre, Yunytju Street, Kintore, Macdonnell Region, Northern Territory, Australia","Item 131, Item 134A","Near 'Kintore Community Store' (supermarket); straight-line 459.65 km, est. route 597.54 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Kintore Health Centre' (gp); straight-line 459.73 km, est. route 597.65 km from nearest pharmacy | Very remote -- 'Kintore Community Store' (supermarket) is 459.65 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Kintore Health Centre' (gp) is 459.73 km from nearest pharmacy (threshold 90 km)",90%,459.65,United Chemists Northside Pharmacy NT,Kintore Community Store,supermarket,NT,2026-02-14T21:57:47.474438,420,420,420,Kintore,420,0.06,567.0,0,0,0,0,0,0.0,,193053.0,,
-13.98075605,136.4611424,,"Item 131, Item 134A","Near 'Angurugu Community Store' (supermarket); straight-line 202.95 km, est. route 263.83 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Angurugu Health Centre' (gp); straight-line 202.80 km, est. route 263.64 km from nearest pharmacy | Very remote -- 'Angurugu Community Store' (supermarket) is 202.95 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Angurugu Health Centre' (gp) is 202.80 km from nearest pharmacy (threshold 90 km)",90%,202.95,Gove Pharmacy,Angurugu Community Store,supermarket,NT,2026-02-14T21:57:47.486438,883,883,883,Angurugu,883,0.14,1192.0,0,0,0,0,0,0.0,,179204.8,,
-14.275415,135.7413994,,"Item 131, Item 134A","Near 'Numbulwar Health Centre' (gp); straight-line 258.62 km, est. route 336.20 km from nearest pharmacy | Very remote -- 'Numbulwar Health Centre' (gp) is 258.62 km from nearest pharmacy (threshold 90 km)",90%,258.62,Gove Pharmacy,Numbulwar Health Centre,gp,NT,2026-02-14T21:57:47.555439,681,681,681,Numbulwar,681,0.3,919.4,0,0,0,0,0,0.0,,176120.2,,
-17.4435665,130.8306822,,"Item 131, Item 134A","Near 'Kalkaringi Health Centre' (gp); straight-line 289.87 km, est. route 376.83 km from nearest pharmacy | Very remote -- 'Kalkaringi Health Centre' (gp) is 289.87 km from nearest pharmacy (threshold 90 km)",90%,289.87,Kununurra Pharmacy,Kalkaringi Health Centre,gp,NT,2026-02-14T21:57:47.495438,544,544,544,Kalkarindji,544,0.49,734.4,0,0,0,0,0,0.0,,157689.3,,
