Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-35.1715677,149.1428595,"Spar, 26, Francis Forde Boulevard, Forde, District of Gungahlin, Australian Capital Territory, 2914, Australia",Item 133,"Supermarket 'Spar' (1,500 sqm) with no adjacent pharmacy (nearest 1.21 km)",65%,1.21,Priceline Pharmacy Amaroo,Spar,supermarket,ACT,2026-02-14T16:49:26.792397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Priceline Pharmacy (1m),0,222198,466566,Canberra,466566,14.51,115543.0,11,24,56,34,22,108.0,"Priceline Pharmacy Amaroo (1.2km, chain); Priceline Pharmacy (1.7km, chain); TerryWhite Chemmart Gungahlin (1.8km, chain)",2466.6
-35.2437,149.0847,"Radford College, Traeger Court, Bruce, District of Belconnen, Australian Capital Territory, 2617, Australia",Item 135,Hospital 'Calvary Public Hospital Bruce' (250 beds) with no adjacent pharmacy (nearest 1.03 km),80%,1.03,Capital Chemist University of Canberra,Calvary Public Hospital Bruce,hospital,ACT,2026-02-14T16:49:26.771398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist Bruce (1m),402772,483037,522266,Canberra,466566,6.18,309143.7,27,62,87,50,37,201.0,"Capital Chemist University of Canberra (1.0km, chain); Optimal Pharmacy+ Jamison (1.5km, ind); Optimal Pharmacy Plus Jamison (1.6km, ind)",2463.0
-35.472441,149.0955649,"Supaexpress Banks, 96, Pockett Avenue, Banks, District of Tuggeranong, Australian Capital Territory, 2906, Australia",Item 133,"Supermarket 'Supaexpress Banks' (1,500 sqm) with no adjacent pharmacy (nearest 1.69 km)",65%,1.69,Lanyon Pharmacy,Supaexpress Banks,supermarket,ACT,2026-02-14T16:49:26.791397,VERIFIED,No pharmacies found in OSM within search radius,72108,86900,142600,Tuggeranong,86900,5.73,45188.0,4,14,32,19,13,59.5,"Lanyon Pharmacy (1.7km, ind); Lanyon Pharmacy (1.8km, ind); Capital Chemist Calwell (4.5km, chain)",2427.5
-35.2133484,149.0956481,,Item 133,"Supermarket 'Giralang IGA & Cellarbrations' (1,200 sqm) with no adjacent pharmacy (nearest 983 m)",65%,0.98,Kaleen Plaza Pharmacy,Giralang IGA & Cellarbrations,supermarket,ACT,2026-02-14T16:49:26.808397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Caremore Pharmacy (1m),229352,466566,466566,Canberra,466566,9.38,151634.0,32,54,79,45,34,187.5,"Kaleen Plaza Pharmacy (1.0km, ind); Caremore Pharmacy (1.0km, ind); Capital Chemist Crace (1.6km, chain)",2425.6
-35.3552417,149.0981765,"Friendly Grocer, 84, Ainsworth Street, Mawson, District of Woden Valley, Australian Capital Territory, 2607, Australia",Item 133,"Supermarket 'Friendly Grocer' (1,200 sqm) with no adjacent pharmacy (nearest 750 m)",65%,0.75,Garran Pharmacy,Friendly Grocer,supermarket,ACT,2026-02-14T16:49:26.788397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Garran Pharmacy (1m); Colbee Court Pharmacy (1m); TCH Pharmacy (1m),485314,609166,609166,Woden,33000,0.71,197979.0,20,54,90,52,38,190.0,"Garran Pharmacy (0.8km, ind); Colbee Court Chemist (0.9km, ind); TerryWhite Chemmart Garran (0.9km, chain)",2392.0
-35.183099,149.0985694,"Nicholls IGA, Paisley Street, Nicholls, District of Gungahlin, Australian Capital Territory, 2913, Australia",Item 133,"Supermarket 'Nicholls IGA' (1,200 sqm) with no adjacent pharmacy (nearest 990 m)",65%,0.99,Priceline Pharmacy Casey,Nicholls IGA,supermarket,ACT,2026-02-14T16:49:26.779398,VERIFIED,No pharmacies found in OSM within search radius,48361,319078,467066,Canberra,466566,12.73,103700.4,16,46,58,33,25,136.5,"Priceline Pharmacy Casey (1.0km, chain); Priceline Pharmacy Casey (1.3km, chain); Mediadvice Pharmacy Ngunnawal (1.4km, ind)",2297.4
-35.264018,149.1327917,,Item 133,"Supermarket 'Braddon Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 925 m)",65%,0.93,Capital Chemist O'Connor,Braddon Supermarket,supermarket,ACT,2026-02-14T16:49:26.796397,VERIFIED,All 3 nearby OSM pharmacies already in DB: Capital Chemist O'Connor (1m); Ainslie Pharmacy (1m); Capital Chemist Lyneham (1m),157079,502315,522266,Canberra,466566,4.7,163252.4,15,65,97,57,40,205.5,"Capital Chemist O'Connor (0.9km, chain); TerryWhite Chemmart Compounding Ainslie (1.2km, chain); Capital Chemist Lyneham (1.5km, chain)",2262.2
-35.1741837,149.1200845,,Item 133,"Supermarket 'Ngunnawal IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.05 km)",65%,1.05,Mediadvice Pharmacy Ngunnawal,Ngunnawal IGA,supermarket,ACT,2026-02-14T16:49:26.794397,VERIFIED,No pharmacies found in OSM within search radius,500,259792,467066,Canberra,466566,13.83,135091.8,12,43,55,32,23,126.0,"Mediadvice Pharmacy Ngunnawal (1.0km, ind); Priceline Pharmacy Gungahlin Market (1.4km, chain); Priceline Pharmacy Amaroo (1.5km, chain)",2147.9
-35.3405364,149.0831547,,Item 133,"Supermarket 'Sun Gift House' (1,500 sqm) with no adjacent pharmacy (nearest 550 m)",65%,0.55,Chemist Warehouse,Sun Gift House,supermarket,ACT,2026-02-14T16:49:26.805397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Chemist Warehouse (1m); Priceline pharmacy (1m); Capital Chemist (1m),525874,609166,609166,Woden,33000,1.43,197979.0,22,54,95,54,41,198.0,"Chemist Warehouse (0.6km, chain); Priceline Pharmacy Woden (0.7km, chain); My Pharmacy Woden (0.7km, ind)",1683.6
-35.2390953,149.0822389,,Item 133,"Supermarket 'UC Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 679 m)",65%,0.68,Capital Chemist University of Canberra,UC Supermarket,supermarket,ACT,2026-02-14T16:49:26.804397,VERIFIED,All 5 nearby OSM pharmacies already in DB: Capital Chemist Bruce (1m); Priceline Pharmacy (1m); TerryWhite Chemmart (1m),372903,471993,522266,Canberra,466566,6.73,153397.7,25,60,87,50,37,197.0,"Capital Chemist University of Canberra (0.7km, chain); Priceline Pharmacy (1.3km, chain); Priceline Belconnen (1.4km, chain)",1621.0
