Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-36.549703699999995,145.98959405,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 367 m) | Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 451 m)",75%,0.37,Healthsave Pharmacy Benalla,Woolworths,supermarket,VIC,2026-02-14T12:23:28.027047
-36.7754017,144.3061077,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 119 m)",75%,0.12,Strathdale Pharmacy,Woolworths,supermarket,VIC,2026-02-14T12:23:28.028044
-36.7038221,144.3168295,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 160 m)",75%,0.16,Chemist Warehouse Epsom Village,ALDI,supermarket,VIC,2026-02-14T12:23:28.029044
-37.7017311,144.574255,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 110 m)",75%,0.11,UFS Dispensaries South Melton,Coles,supermarket,VIC,2026-02-14T12:23:28.030044
-36.755631699999995,144.2638517,,"Item 133, Item 134","Supermarket 'The Fruit Shack' (1,500 sqm) with no adjacent pharmacy (nearest 745 m) | Shopping centre 'Salvos Thrift Shop' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.70,Slade Pharmacy Bendigo,Salvos Thrift Shop,shopping_centre,VIC,2026-02-14T12:23:28.031044
-37.828882,145.12144013333332,,Item 133,"Supermarket 'Roaring Bear Asian Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 809 m) | Supermarket 'Tatsing Food Stores' (1,500 sqm) with no adjacent pharmacy (nearest 858 m) | Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 922 m)",75%,0.92,Chemist Warehouse Box Hill - Sky Square,ALDI,supermarket,VIC,2026-02-14T12:23:28.032044
-37.94622613333333,145.15340513333334,,"Item 133, Item 134","Supermarket 'Shahi' (1,500 sqm) with no adjacent pharmacy (nearest 262 m) | Shopping centre 'Bonsaiarium' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Dunav Butchers' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.20,Khang Ninh,Bonsaiarium,shopping_centre,VIC,2026-02-14T12:23:28.033044
-36.1202037,146.8888404,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 207 m)",75%,0.21,TerryWhite Chemmart Wodonga,Coles,supermarket,VIC,2026-02-14T12:23:28.034044
-37.9973239,145.08449815,,"Item 133, Item 134","Supermarket '4 Cousins' (1,500 sqm) with no adjacent pharmacy (nearest 743 m) | Shopping centre 'Parkdale Plaza' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.75,Warren Road Pharmacy,Parkdale Plaza,shopping_centre,VIC,2026-02-14T12:23:28.036044
-37.91048965,145.18953375,,"Item 133, Item 134","Supermarket 'Four Seasons Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 1.30 km) | Shopping centre 'Wheelers Hill Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,1.28,Buckley's Pharmacy,Wheelers Hill Shopping Centre,shopping_centre,VIC,2026-02-14T12:23:28.037044
