developer,project_name,address,suburb,state,status,anchor_tenants,total_gla,has_pharmacy,source_url,date_scraped,latitude,longitude,nearest_pharmacy_km,in_v2_results,in_growth_corridor,growth_corridor_name,in_psp_area,psp_name,score,score_breakdown
Oreana,"Maida Vale Village,Maida Vale","Maida Vale Village,Maida Vale","Maida Vale Village,Maida Vale",VIC,leasing,"Woolworths,Aldi,Big W",18100.0,unknown,https://oreana.com.au/projects/maida-vale-village-maida-vale/,2026-03-21,,,,False,False,,False,,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 18100.0sqm)"
Oreana,"Riverwalk Newmarket Road,Werribee","Riverwalk Newmarket Road,Werribee","Riverwalk Newmarket Road,Werribee",VIC,leasing,"Woolworths,Aldi,Big W",30000.0,unknown,https://oreana.com.au/projects/riverwalk-werribee/,2026-03-21,,,,False,False,,False,,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 30000.0sqm)"
Oreana,"Floyd Circuit,Cranbourne","Floyd Circuit,Cranbourne","Floyd Circuit,Cranbourne",VIC,leasing,"Woolworths,Aldi,Big W",2778.0,unknown,https://oreana.com.au/projects/floyd-circuit-townhomes-cranbourne/,2026-03-21,-38.116326,145.256991,1.08,False,False,,True,Casey Fields South Town Centre,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); psp_area(+10, Casey Fields South Town Centre)"
Oreana,"Aurora Estate Harvest Home Road,Epping","Aurora Estate Harvest Home Road,Epping","Aurora Estate Harvest Home Road,Epping",VIC,leasing,"Woolworths,Aldi,Big W",10000.0,unknown,https://oreana.com.au/projects/aurora-estate-epping/,2026-03-21,,,,False,False,,False,,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 10000.0sqm)"
Oreana,"Moorabool Estate,Batesford","Moorabool Estate,Batesford","Moorabool Estate,Batesford",VIC,leasing,"Woolworths,Aldi,Big W",2500.0,unknown,https://oreana.com.au/projects/moorabool-estate-batesford/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,Early Education,Early Education,Early Education,VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/the-hemmingway-2/,2026-03-21,-38.148916,145.289446,0.07,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Toorak Rd,South Yarra","Toorak Rd,South Yarra","Toorak Rd,South Yarra",VIC,leasing,"Woolworths,Aldi,Big W",2400.0,unknown,https://oreana.com.au/projects/toorak-rd-south-yarra/,2026-03-21,-37.837927,144.983249,0.42,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Deanside Central,Sinclairs Road","Deanside Central,Sinclairs Road","Deanside Central,Sinclairs Road",VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/deanside-central-pumpton/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"The Gateway,Cranbourne North","The Gateway,Cranbourne North","The Gateway,Cranbourne North",VIC,leasing,"Woolworths,Aldi,Big W",3010.0,unknown,https://oreana.com.au/projects/william-thwaites-business-park-cranbourne-north/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"North Shore,Townsville","North Shore,Townsville","North Shore,Townsville",VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/north-shore-townsville/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
