Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-41.068,145.905,"20, Hamilton Street, Upper Burnie, Burnie, City of Burnie, Tasmania, 7320, Australia",Item 136,"Medical centre 'TAS Family Medical Centre' — 10 GPs (8.0 est. FTE), open 75hrs/wk (meets 70hr requirement) — nearest pharmacy 438 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.44,Upper Burnie Pharmacy,TAS Family Medical Centre,medical_centre,TAS,2026-02-14T21:25:23.789140,VERIFIED,All 1 nearby OSM pharmacies already in DB: Burnie Chemmart Pharmacy (0m)
-42.8704,147.3579,"Rosny Hill Lookout, Rosny Lookout Road, Rosny, Hobart, City of Clarence, Tasmania, 7018, Australia",Item 132,"Major shopping centre 'Eastlands Shopping Centre' (GLA 22,000 sqm, est. 110 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",85%,0.92,Bellerive Quay Pharmacy,Eastlands Shopping Centre,shopping_centre,TAS,2026-02-14T21:25:23.790140,VERIFIED,All 2 nearby OSM pharmacies already in DB: Guardian (1m); Chemist Warehouse (1m)
-42.9768,147.3057,"14, Maranoa Road, Kingston Park, Kingston, Kingborough, Tasmania, 7050, Australia",Item 132,"Major shopping centre 'Channel Court Shopping Centre' (GLA 16,000 sqm, est. 80 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",85%,0.34,Priceline Pharmacy Kingston,Channel Court Shopping Centre,shopping_centre,TAS,2026-02-14T21:25:23.792141,VERIFIED,All 3 nearby OSM pharmacies already in DB: Kingston Discount Drug Store (0m); TerryWhite Chemmart (0m); Good Price Pharmacy Warehouse Kingston (1m)
-42.126071525,148.290322925,"Coles Bay Convenience, 3, Garnet Avenue, Coles Bay, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Item 130, Item 131, Item 133, Item 134","Supermarket 'Coles Bay Convenience' (est. GLA 3500 sqm, brand: coles) is 17.79 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Coles Bay Convenience' (supermarket); straight-line 17.79 km, est. route 23.13 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Coles Bay Convenience' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 17.79 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Freycinet Rentals' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",80%,17.79,Swansea Pharmacy,Coles Bay Convenience,supermarket,TAS,2026-02-14T21:25:23.793140,VERIFIED,No pharmacies found in OSM within search radius
-41.456382,147.17792,"Norwood Medical Centre, Dapple Street, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Item 130,"GP 'Norwood Medical Centre' (1.0 FTE) + Supermarket 'Norwood IGA' (est. GLA 1500 sqm, brand: iga) within 500 m; 1.87 km from nearest pharmacy",75%,1.87,Pharmacy and Co Kings Meadows,Norwood Medical Centre,gp,TAS,2026-02-14T21:25:23.795139,VERIFIED,No pharmacies found in OSM within search radius
-41.4547332,147.1761331,"Norwood IGA, Norwood Avenue, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia","Item 130, Item 133","Supermarket 'Norwood IGA' (est. GLA 1500 sqm, brand: iga) + GP 'Norwood Medical Centre' (1.0 FTE) within 500 m; 1.86 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Norwood IGA' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 1.86 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,1.86,Slade Pharmacy Kings Meadows,Norwood IGA,supermarket,TAS,2026-02-14T21:25:23.794139,VERIFIED,No pharmacies found in OSM within search radius
-42.734751,147.24324395000002,"Coles, 11, Cove Hill Road, Bridgewater, Hobart, Brighton, Tasmania, 7030, Australia","Item 133, Item 134","Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 303 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Cove Hill' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",75%,0.3,Priceline Pharmacy Bridgewater,Coles,supermarket,TAS,2026-02-14T21:25:23.797139,VERIFIED,No pharmacies found in OSM within search radius
-42.78274725,147.56589225,"Coles, 12, Cole Street, Sorell, Tasmania, 7172, Australia","Item 133, Item 134","Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 261 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Coles Plaza' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",75%,0.26,Chemist Warehouse Sorell,Coles,supermarket,TAS,2026-02-14T21:25:23.798139,VERIFIED,All 2 nearby OSM pharmacies already in DB: Chemist Warehouse (0m); TerryWhite Chemmart (0m)
-41.4407108,147.13653,"36-40, Wellington Street, Launceston, City of Launceston, Tasmania, 7250, Australia",Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 229 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.23,Chemist Warehouse Launceston,Woolworths,supermarket,TAS,2026-02-14T21:25:23.808140,VERIFIED,All 6 nearby OSM pharmacies already in DB: Chemist Warehouse (0m); Priceline Pharmacy (0m); Fitzpatrick's Pharmacy (0m)
-42.8578725,147.3032616,"192-196, New Town Road, New Town, Hobart, City of Hobart, Tasmania, 7008, Australia",Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 212 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.21,Chemist Warehouse New Town TAS,Woolworths,supermarket,TAS,2026-02-14T21:25:23.807139,VERIFIED,All 5 nearby OSM pharmacies already in DB: Chemist Warehouse (0m); Amcal (1m); Amcal (1m)
