Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-31.6763999,128.8887025,"Eucla Health Centre, Patupis Street, Eucla, Shire Of Dundas, Western Australia, Australia","Item 131, Item 134A","Near 'Eucla Health Centre' (gp); straight-line 454.28 km, est. route 590.56 km from nearest pharmacy | Very remote -- 'Eucla Health Centre' (gp) is 454.28 km from nearest pharmacy (threshold 90 km)",90%,454.28,Far West Pharmacy Ceduna,Eucla Health Centre,gp,WA,2026-02-14T16:53:20.828523
-21.886916,120.1088301,"Nullagine Health Clinic, 10, Cooke Street, Irrungadji, Nullagine, Shire of East Pilbara, Western Australia, 6758, Australia","Item 131, Item 134A","Near 'Nullagine Health Clinic' (gp); straight-line 167.98 km, est. route 218.38 km from nearest pharmacy | Very remote -- 'Nullagine Health Clinic' (gp) is 167.98 km from nearest pharmacy (threshold 90 km)",90%,167.98,Boulevard Pharmacy,Nullagine Health Clinic,gp,WA,2026-02-14T16:53:20.829517
-18.6855103,121.7767184,"Bidyadanga Health Centre, Lot 86, Wangkaja Road, Lagrange, Bidyadanga, Shire Of Broome, Western Australia, Australia","Item 131, Item 134A","Near 'Bidyadanga Health Centre' (gp); straight-line 93.43 km, est. route 121.46 km from nearest pharmacy | Very remote -- 'Bidyadanga Health Centre' (gp) is 93.43 km from nearest pharmacy (threshold 90 km)",90%,93.43,Kimberley Pharmacy Services (Broome),Bidyadanga Health Centre,gp,WA,2026-02-14T16:53:20.830517
-18.7941306,128.6150832,"Yura Yungi Medical Clinic, Yaruman Road, Kundat Djaru, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 134A","Near 'Yura Yungi Medical Clinic' (gp); straight-line 118.15 km, est. route 153.59 km from nearest pharmacy | Very remote -- 'Yura Yungi Medical Clinic' (gp) is 118.15 km from nearest pharmacy (threshold 90 km)",90%,118.15,Halls Creek Pharmacy,Yura Yungi Medical Clinic,gp,WA,2026-02-14T16:53:20.831517
-21.6392644,116.3270047,"Pannawonica Medical Center, Pannawonica Drive, Pannawonica, Shire Of Ashburton, Western Australia, Australia","Item 131, Item 134A","Near 'Pannawonica Medical Center' (hospital); straight-line 111.08 km, est. route 144.41 km from nearest pharmacy | Very remote -- 'Pannawonica Medical Center' (hospital) is 111.08 km from nearest pharmacy (threshold 90 km)",90%,111.08,Pharmacy 777 Tambrey,Pannawonica Medical Center,hospital,WA,2026-02-14T16:53:20.832517
-25.0029532,128.2867997,"Warakurna Health Clinic, Fiftheenth Street, Warakurna, Shire Of Ngaanyatjarraku, Western Australia, Australia","Item 131, Item 134A","Near 'Warakurna Health Clinic' (hospital); straight-line 584.47 km, est. route 759.82 km from nearest pharmacy | Very remote -- 'Warakurna Health Clinic' (hospital) is 584.47 km from nearest pharmacy (threshold 90 km)",90%,584.47,Territory Pharmacy Alice Springs,Warakurna Health Clinic,hospital,WA,2026-02-14T16:53:20.833517
-28.626606,122.3996233,"Laverton Hospital, 2, Beria Road, Laverton, Shire Of Laverton, Western Australia, 6440, Australia","Item 131, Item 134A","Near 'Laverton Hospital' (hospital); straight-line 108.04 km, est. route 140.45 km from nearest pharmacy | Very remote -- 'Laverton Hospital' (hospital) is 108.04 km from nearest pharmacy (threshold 90 km)",90%,108.04,Leonora Pharmacy,Laverton Hospital,hospital,WA,2026-02-14T16:53:20.834517
-26.5951423,120.2280643,"Ngangganawili Aboriginal Health Service, 44, Scotia Street, Wiluna, Shire Of Wiluna, Western Australia, 6646, Australia","Item 131, Item 134A","Near 'Ngangganawili Aboriginal Health Service' (hospital); straight-line 172.24 km, est. route 223.92 km from nearest pharmacy | Very remote -- 'Ngangganawili Aboriginal Health Service' (hospital) is 172.24 km from nearest pharmacy (threshold 90 km)",90%,172.24,Meekatharra Pharmacy,Ngangganawili Aboriginal Health Service,hospital,WA,2026-02-14T16:53:20.835517
-27.9132586,120.6977621,"BHP Leinster Medical Centre, Link Road, Leinster, Shire Of Leonora, Western Australia, 6437, Australia","Item 131, Item 134A","Near 'BHP Leinster Medical Centre' (hospital); straight-line 124.33 km, est. route 161.63 km from nearest pharmacy | Very remote -- 'BHP Leinster Medical Centre' (hospital) is 124.33 km from nearest pharmacy (threshold 90 km)",90%,124.33,Leonora Pharmacy,BHP Leinster Medical Centre,hospital,WA,2026-02-14T16:53:20.837517
-20.7743055,117.1464062,"Roebourne Supermarket, Roe Street, Roebourne, City Of Karratha, Western Australia, 6718, Australia","Item 131, Item 133","Near 'Roebourne Supermarket' (supermarket); route distance 12.79 km from nearest pharmacy (verified via OSRM) | Supermarket 'Roebourne Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 11.09 km)",85%,12.79,Clinicare Pharmacy Wickham,Roebourne Supermarket,supermarket,WA,2026-02-14T16:53:20.838517
