Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-21.6392644,116.3270047,"Pannawonica Medical Center, Pannawonica Drive, Pannawonica, Shire Of Ashburton, Western Australia, Australia","Item 131, Item 134A","Near 'Pannawonica Medical Center' (hospital); straight-line 111.08 km, est. route 144.41 km from nearest pharmacy | Very remote -- 'Pannawonica Medical Center' (hospital) is 111.08 km from nearest pharmacy (threshold 90 km)",90%,111.08,Pharmacy 777 Tambrey,Pannawonica Medical Center,hospital,WA,2026-02-14T16:53:20.832517,VERIFIED,No pharmacies found in OSM within search radius,685,685,685,Pannawonica,685,0.26,924.8,0,0,0,0,0,0.0,,76089.8
-15.485668,128.1192082,,"Item 131, Item 133","Near 'Wyndham Supermarket' (supermarket); straight-line 73.83 km, est. route 95.99 km from nearest pharmacy | Supermarket 'Wyndham Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 73.83 km)",70%,73.83,Amcal+ Pharmacy Kununurra,Wyndham Supermarket,supermarket,WA,2026-02-14T16:53:20.922926,VERIFIED,No pharmacies found in OSM within search radius,845,845,845,Wyndham,745,0.49,887.2,0,0,0,0,0,0.0,,62386.3
-15.4776236,128.1273182,,Item 131,"Near 'Wyndham Hospital' (hospital); straight-line 73.45 km, est. route 95.49 km from nearest pharmacy",70%,73.45,Amcal+ Pharmacy Kununurra,Wyndham Hospital,hospital,WA,2026-02-14T16:53:20.945496,VERIFIED,No pharmacies found in OSM within search radius,845,845,845,Wyndham,745,1.09,887.2,0,0,0,0,0,0.0,,62065.2
-18.6855103,121.7767184,"Bidyadanga Health Centre, Lot 86, Wangkaja Road, Lagrange, Bidyadanga, Shire Of Broome, Western Australia, Australia","Item 131, Item 134A","Near 'Bidyadanga Health Centre' (gp); straight-line 93.43 km, est. route 121.46 km from nearest pharmacy | Very remote -- 'Bidyadanga Health Centre' (gp) is 93.43 km from nearest pharmacy (threshold 90 km)",90%,93.43,Kimberley Pharmacy Services (Broome),Bidyadanga Health Centre,gp,WA,2026-02-14T16:53:20.830517,VERIFIED,No pharmacies found in OSM within search radius,593,593,593,Bidyadanga,593,0.18,800.6,0,0,0,0,0,0.0,,55404.0
-28.626606,122.3996233,"Laverton Hospital, 2, Beria Road, Laverton, Shire Of Laverton, Western Australia, 6440, Australia","Item 131, Item 134A","Near 'Laverton Hospital' (hospital); straight-line 108.04 km, est. route 140.45 km from nearest pharmacy | Very remote -- 'Laverton Hospital' (hospital) is 108.04 km from nearest pharmacy (threshold 90 km)",90%,108.04,Leonora Pharmacy,Laverton Hospital,hospital,WA,2026-02-14T16:53:20.834517,VERIFIED,No pharmacies found in OSM within search radius,507,507,507,Laverton,407,0.37,684.5,0,0,0,0,0,0.0,,54776.3
-16.4464744,123.05998140000001,"Bardi Ardyaloon Store, Ardyaloon Street, Dampier Peninsula, Ardyaloon, Shire Of Broome, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Bardi Ardyaloon Store' (supermarket); straight-line 113.14 km, est. route 147.08 km from nearest pharmacy | Supermarket 'Bardi Ardyaloon Store' (1,500 sqm) with no adjacent pharmacy (nearest 113.14 km) | Very remote -- 'Bardi Ardyaloon Store' (supermarket) is 113.14 km from nearest pharmacy (threshold 90 km)",90%,113.14,Kimberley Pharmacy Services (Derby),Bardi Ardyaloon Store,supermarket,WA,2026-02-14T16:53:20.825647,VERIFIED,No pharmacies found in OSM within search radius,465,465,465,Ardyaloon,365,0.06,627.8,0,0,0,0,0,0.0,,52610.1
-33.5574885,115.5629979,,"Item 130, Item 131","GP 'CAPEL Child Health Clinic' (1.0 FTE) + Supermarket 'Capel Fresh IGA' (1200 sqm) within 500 m; 17.46 km from nearest pharmacy | Near 'CAPEL Child Health Clinic' (gp); straight-line 17.46 km, est. route 22.70 km from nearest pharmacy",75%,17.46,Boyanup Pharmacy,CAPEL Child Health Clinic,gp,WA,2026-02-14T16:53:20.856071,VERIFIED,No pharmacies found in OSM within search radius,2402,2920,3146,Capel,2402,0.71,3285.0,0,0,0,0,0,0.0,,50983.2
-33.5535182,115.5637124,,"Item 130, Item 131, Item 133","Supermarket 'Capel Fresh IGA' (1200 sqm) + GP 'CAPEL Child Health Clinic' (1.0 FTE) within 500 m; 17.20 km from nearest pharmacy | Near 'Capel Fresh IGA' (supermarket); straight-line 17.20 km, est. route 22.36 km from nearest pharmacy | Supermarket 'Capel Fresh IGA' (1,200 sqm) with no adjacent pharmacy (nearest 17.20 km)",75%,17.2,Boyanup Pharmacy,Capel Fresh IGA,supermarket,WA,2026-02-14T16:53:20.855071,VERIFIED,No pharmacies found in OSM within search radius,2402,2920,3001,Capel,2402,0.32,3285.0,0,0,0,0,0,0.0,,50224.0
-27.9132586,120.6977621,"BHP Leinster Medical Centre, Link Road, Leinster, Shire Of Leonora, Western Australia, 6437, Australia","Item 131, Item 134A","Near 'BHP Leinster Medical Centre' (hospital); straight-line 124.33 km, est. route 161.63 km from nearest pharmacy | Very remote -- 'BHP Leinster Medical Centre' (hospital) is 124.33 km from nearest pharmacy (threshold 90 km)",90%,124.33,Leonora Pharmacy,BHP Leinster Medical Centre,hospital,WA,2026-02-14T16:53:20.837517,VERIFIED,No pharmacies found in OSM within search radius,395,395,395,Leinster,395,0.1,533.2,0,0,0,0,0,0.0,,49110.3
-30.8941224,116.7247833,,Item 131,"Near 'Wongan Hills Health Service' (hospital); straight-line 46.02 km, est. route 59.82 km from nearest pharmacy",70%,46.02,Goomalling Pharmacy,Wongan Hills Health Service,hospital,WA,2026-02-14T16:53:20.943496,VERIFIED,No pharmacies found in OSM within search radius,725,725,725,Wongan Hills,725,0.62,761.2,0,0,0,0,0,0.0,,33364.5
