latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-28.626606,122.3996233,,Laverton Hospital,hospital,WA,"Item 131, Item 134A",90%,108.04,Leonora Pharmacy,507,507,0,0,0.8,5272,0.0,True,,,133848.0,417693.6,-283845.6,657500,-0.4317,999.0,-2538065.38,93693.6,-354329.75,-0.5389,-3005044.78,174002.4,-227219.11,-0.3456,-2162897.29
-16.4464744,123.0599814,"Bardi Ardyaloon Store, Ardyaloon Street, Dampier Peninsula, Ardyaloon, Shire Of Broome, Western Australia, Australia",Bardi Ardyaloon Store,supermarket,WA,"Item 131, Item 134A",90%,113.14,Kimberley Pharmacy Services (Derby),465,465,0,0,0.8,4836,0.0,True,,,122760.0,409932.0,-287172.0,657500,-0.4368,999.0,-2560103.82,85932.0,-355843.26,-0.5412,-3015072.27,159588.0,-232552.44,-0.3537,-2198232.24
-33.5574885,115.5629979,,CAPEL Child Health Clinic,gp,WA,"Item 130, Item 131",75%,17.46,Boyanup Pharmacy,2920,2920,0,0,0.8,30368,0.0,True,,,770880.0,863616.0,-92736.0,657500,-0.141,999.0,-1271904.84,539616.0,-267374.88,-0.4067,-2428941.74,1002144.0,79193.28,0.1204,-132819.89
-33.5535182,115.5637124,,Capel Fresh IGA,supermarket,WA,"Item 130, Item 131, Item 133",75%,17.20,Boyanup Pharmacy,2920,2920,0,0,0.8,30368,0.0,True,,,770880.0,863616.0,-92736.0,657500,-0.141,999.0,-1271904.84,539616.0,-267374.88,-0.4067,-2428941.74,1002144.0,79193.28,0.1204,-132819.89
-27.9132586,120.6977621,,BHP Leinster Medical Centre,hospital,WA,"Item 131, Item 134A",90%,124.33,Leonora Pharmacy,395,395,0,0,0.8,4108,0.0,True,,,104280.0,396996.0,-292716.0,657500,-0.4452,999.0,-2596834.54,72996.0,-358365.78,-0.545,-3031784.75,135564.0,-241441.32,-0.3672,-2257123.84
-30.8941224,116.7247833,,Wongan Hills Health Service,hospital,WA,Item 131,70%,46.02,Goomalling Pharmacy,725,725,0,0,0.8,7540,0.0,True,,,191400.0,457980.0,-266580.0,657500,-0.4054,999.0,-2423675.41,133980.0,-346473.9,-0.527,-2952997.35,248820.0,-199536.6,-0.3035,-1979492.03
-31.995862,115.5405252,,Rottnest General Store,supermarket,WA,Item 131,70%,20.33,Leighton Beach Drive-In Pharmacy,1500,1500,0,0,0.8,15600,0.0,True,,,396000.0,601200.0,-205200.0,657500,-0.3121,999.0,-2017013.82,277200.0,-318546.0,-0.4845,-2767966.32,514800.0,-101124.0,-0.1538,-1327477.95
-30.9600365,121.1644984,,Coolgardie Health Centre,hospital,WA,Item 131,70%,36.78,Boulder Pharmacy,763,763,0,0,0.8,7935,0.0,True,,,201432.0,465002.4,-263570.4,657500,-0.4009,999.0,-2403735.88,141002.4,-345104.53,-0.5249,-2943924.86,261861.6,-194711.21,-0.2961,-1947522.31
-30.9544584,121.169181,,Morans General store,supermarket,WA,"Item 131, Item 133",70%,36.08,Boulder Pharmacy,763,763,0,0,0.8,7935,0.0,True,,,201432.0,465002.4,-263570.4,657500,-0.4009,999.0,-2403735.88,141002.4,-345104.53,-0.5249,-2943924.86,261861.6,-194711.21,-0.2961,-1947522.31
-28.539757,115.5119191,,unkown (minimarket),supermarket,WA,Item 131,70%,85.43,Optimal Pharmacy Plus Sunset Beach,312,312,0,0,0.8,3244,0.0,True,,,82368.0,381657.6,-299289.6,657500,-0.4552,999.0,-2640386.68,57657.6,-361356.77,-0.5496,-3051600.98,107078.4,-251980.99,-0.3832,-2326952.44
-28.5359855,115.5098174,,Mullewa Health Service,hospital,WA,Item 131,70%,85.33,Optimal Pharmacy Plus Sunset Beach,312,312,0,0,0.8,3244,0.0,True,,,82368.0,381657.6,-299289.6,657500,-0.4552,999.0,-2640386.68,57657.6,-361356.77,-0.5496,-3051600.98,107078.4,-251980.99,-0.3832,-2326952.44
-27.9945748,122.8960118,"Cosmo Newberry Clinic, Tjurnmu Road, Cosmo Newbery, Shire Of Laverton, Western Australia, Australia",Cosmo Newberry Clinic,gp,WA,"Item 131, Item 134A",90%,182.16,Leonora Pharmacy,143,143,0,0,0.8,1487,0.0,True,,,37752.0,350426.4,-312674.4,657500,-0.4756,999.0,-2729065.15,26426.4,-367446.85,-0.5589,-3091949.68,49077.6,-273441.29,-0.4159,-2469133.58
-31.6763999,128.8887025,"Eucla Health Centre, Patupis Street, Eucla, Shire Of Dundas, Western Australia, Australia",Eucla Health Centre,gp,WA,"Item 131, Item 134A",90%,454.28,Far West Pharmacy Ceduna,53,53,0,0,0.8,551,0.0,True,,,13992.0,333794.4,-319802.4,657500,-0.4864,999.0,-2776290.36,9794.4,-370690.09,-0.5638,-3113437.15,18189.6,-284869.85,-0.4333,-2544851.34
-32.44924386666667,118.86372456666668,,Hyden IGA,supermarket,WA,"Item 131, Item 133, Item 134",70%,61.41,Narembeen Pharmacy,377,377,0,0,0.8,3920,0.0,True,,,99528.0,393669.6,-294141.6,657500,-0.4474,999.0,-2606279.58,69669.6,-359014.43,-0.546,-3036082.25,129386.4,-243727.03,-0.3707,-2272267.39
-19.555925100000003,127.66070895,"Luda Road, Sturt Creek, Billiluna, Shire of Halls Creek, Western Australia, Australia",Billiluna Store,supermarket,WA,"Item 131, Item 134A",90%,147.97,Halls Creek Pharmacy,150,150,0,0,0.8,1560,0.0,True,,,39600.0,351720.0,-312120.0,657500,-0.4747,999.0,-2725392.08,27720.0,-367194.6,-0.5585,-3090278.43,51480.0,-272552.4,-0.4145,-2463244.42
-18.7941306,128.6150832,,Yura Yungi Medical Clinic,gp,WA,"Item 131, Item 134A",90%,118.15,Halls Creek Pharmacy,165,165,0,0,0.8,1716,0.0,True,,,43560.0,354492.0,-310932.0,657500,-0.4729,999.0,-2717521.21,30492.0,-366654.06,-0.5576,-3086697.18,56628.0,-270647.64,-0.4116,-2450624.79
-33.5412671,118.1486847,,124 Nyabing Store,supermarket,WA,Item 131,70%,45.83,Gnowangerup Pharmacy,296,296,0,0,0.8,3078,0.0,True,,,78144.0,378700.8,-300556.8,657500,-0.4571,999.0,-2648782.28,54700.8,-361933.34,-0.5505,-3055420.97,101587.2,-254012.74,-0.3863,-2340413.38
