Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-18.337827,130.6401304,,"Item 130, Item 131, Item 134A","GP 'Lajamanu Health Centre' (1.0 FTE) + Supermarket 'Lajamanu Store' (1500 sqm) within 500 m; 313.93 km from nearest pharmacy | Near 'Lajamanu Health Centre' (gp); straight-line 313.93 km, est. route 408.11 km from nearest pharmacy | Very remote -- 'Lajamanu Health Centre' (gp) is 313.93 km from nearest pharmacy (threshold 90 km)",90%,313.93,Halls Creek Pharmacy,Lajamanu Health Centre,gp,NT,2026-02-14T16:50:31.281153,VERIFIED,No pharmacies found in OSM within search radius
-18.3356777,130.6374637,"Lajamanu Store, Lajamanu Road, Lajamanu, Central Desert Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Lajamanu Store' (1500 sqm) + GP 'Lajamanu Health Centre' (1.0 FTE) within 500 m; 313.64 km from nearest pharmacy | Near 'Lajamanu Store' (supermarket); straight-line 313.64 km, est. route 407.73 km from nearest pharmacy | Supermarket 'Lajamanu Store' (1,500 sqm) with no adjacent pharmacy (nearest 313.64 km) | Very remote -- 'Lajamanu Store' (supermarket) is 313.64 km from nearest pharmacy (threshold 90 km)",90%,313.64,Halls Creek Pharmacy,Lajamanu Store,supermarket,NT,2026-02-14T16:50:31.261153,VERIFIED,No pharmacies found in OSM within search radius
-17.4435665,130.8306822,,"Item 131, Item 134A","Near 'Kalkaringi Health Centre' (gp); straight-line 289.87 km, est. route 376.83 km from nearest pharmacy | Very remote -- 'Kalkaringi Health Centre' (gp) is 289.87 km from nearest pharmacy (threshold 90 km)",90%,289.87,Kununurra Pharmacy,Kalkaringi Health Centre,gp,NT,2026-02-14T16:50:31.294152,VERIFIED,No pharmacies found in OSM within search radius
-16.8149686,131.2201018,,"Item 131, Item 134A","Near 'Pigeon Hole Health Centre' (gp); straight-line 284.11 km, est. route 369.34 km from nearest pharmacy | Very remote -- 'Pigeon Hole Health Centre' (gp) is 284.11 km from nearest pharmacy (threshold 90 km)",90%,284.11,Territory Pharmacy Terrace,Pigeon Hole Health Centre,gp,NT,2026-02-14T16:50:31.331152,VERIFIED,No pharmacies found in OSM within search radius
-12.0520371,134.2215483,,"Item 131, Item 134A","Near 'Manangrida Health Centre' (gp); straight-line 279.27 km, est. route 363.05 km from nearest pharmacy | Very remote -- 'Manangrida Health Centre' (gp) is 279.27 km from nearest pharmacy (threshold 90 km)",90%,279.27,Gove Pharmacy,Manangrida Health Centre,gp,NT,2026-02-14T16:50:31.354152,VERIFIED,No pharmacies found in OSM within search radius
-11.6499096,133.3904146,,"Item 131, Item 134A","Near 'Warruwi Health Centre' (gp); straight-line 269.26 km, est. route 350.04 km from nearest pharmacy | Very remote -- 'Warruwi Health Centre' (gp) is 269.26 km from nearest pharmacy (threshold 90 km)",90%,269.26,TerryWhite Chemmart Humpty Doo,Warruwi Health Centre,gp,NT,2026-02-14T16:50:31.336152,VERIFIED,No pharmacies found in OSM within search radius
-23.266356485714287,131.27351342857145,"Mount Liebig Store, Nampitjinpa Street, Mount Liebig, Macdonnell Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Mount Liebig Store' (1500 sqm) + GP 'Mount Liebig Health Centre' (1.0 FTE) within 500 m; 269.22 km from nearest pharmacy | GP 'Mount Liebig Health Centre' (1.0 FTE) + Supermarket 'Mount Liebig Store' (1500 sqm) within 500 m; 269.15 km from nearest pharmacy | Near 'Mount Liebig Store' (supermarket); straight-line 269.22 km, est. route 349.99 km from nearest pharmacy | Near 'Mount Liebig Health Centre' (gp); straight-line 269.15 km, est. route 349.89 km from nearest pharmacy | Supermarket 'Mount Liebig Store' (1,500 sqm) with no adjacent pharmacy (nearest 269.22 km) | Very remote -- 'Mount Liebig Store' (supermarket) is 269.22 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Mount Liebig Health Centre' (gp) is 269.15 km from nearest pharmacy (threshold 90 km)",90%,269.22,United Chemists Northside Pharmacy NT,Mount Liebig Store,supermarket,NT,2026-02-14T16:50:31.262153,VERIFIED,No pharmacies found in OSM within search radius
-14.7295132,134.7335675,,"Item 131, Item 134A","Near 'Ngukurr Health Centre' (gp); straight-line 267.18 km, est. route 347.33 km from nearest pharmacy | Very remote -- 'Ngukurr Health Centre' (gp) is 267.18 km from nearest pharmacy (threshold 90 km)",90%,267.18,Pharmasave Katherine Pharmacy,Ngukurr Health Centre,gp,NT,2026-02-14T16:50:31.316152,VERIFIED,No pharmacies found in OSM within search radius
-22.2534182,131.7950398,"Yuendumu Store, Conniston Road, Yuendumu, Central Desert Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Yuendumu Store' (1500 sqm) + GP 'Yuendumu Health Centre' (1.0 FTE) within 500 m; 265.72 km from nearest pharmacy | Near 'Yuendumu Store' (supermarket); straight-line 265.72 km, est. route 345.44 km from nearest pharmacy | Supermarket 'Yuendumu Store' (1,500 sqm) with no adjacent pharmacy (nearest 265.72 km) | Very remote -- 'Yuendumu Store' (supermarket) is 265.72 km from nearest pharmacy (threshold 90 km)",90%,265.72,United Chemists Northside Pharmacy NT,Yuendumu Store,supermarket,NT,2026-02-14T16:50:31.260152,VERIFIED,No pharmacies found in OSM within search radius
-22.2554579,131.7966124,,"Item 130, Item 131, Item 134A","GP 'Yuendumu Health Centre' (1.0 FTE) + Supermarket 'Yuendumu Store' (1500 sqm) within 500 m; 265.46 km from nearest pharmacy | Near 'Yuendumu Health Centre' (gp); straight-line 265.46 km, est. route 345.09 km from nearest pharmacy | Very remote -- 'Yuendumu Health Centre' (gp) is 265.46 km from nearest pharmacy (threshold 90 km)",90%,265.46,United Chemists Northside Pharmacy NT,Yuendumu Health Centre,gp,NT,2026-02-14T16:50:31.280157,VERIFIED,No pharmacies found in OSM within search radius
