Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-35.3626035,149.0815726,"Pearce Foodworks, Symons Street, Pearce, District of Woden Valley, Australian Capital Territory, 2607, Australia",Item 133,"Supermarket 'Pearce Foodworks' (1,500 sqm) with no adjacent pharmacy (nearest 1.18 km)",65%,1.18,Capital Chemist Southlands,Pearce Foodworks,supermarket,ACT,2026-02-14T16:49:26.780398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Capital Chemist Mawson (1m); Colbee Court Pharmacy (1m)
-35.3367226,149.0324451,"5 Star Duffy Store, Duffy Place, Duffy Village Shops, Duffy, District of Weston Creek, Australian Capital Territory, 2611, Australia",Item 133,"Supermarket '5 Star Duffy Store' (1,500 sqm) with no adjacent pharmacy (nearest 1.07 km)",65%,1.07,Holder Pharmacy,5 Star Duffy Store,supermarket,ACT,2026-02-14T16:49:26.784397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Holder Pharmacy (1m)
-35.3840911,149.072222,,Item 133,"Supermarket 'Sunshine Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 1.06 km)",65%,1.06,TerryWhite Chemmart Kambah,Sunshine Supermarket,supermarket,ACT,2026-02-14T16:49:26.807397,VERIFIED,All 2 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m); Capital Chemist (1m)
-35.1741837,149.1200845,,Item 133,"Supermarket 'Ngunnawal IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.05 km)",65%,1.05,Mediadvice Pharmacy Ngunnawal,Ngunnawal IGA,supermarket,ACT,2026-02-14T16:49:26.794397,VERIFIED,No pharmacies found in OSM within search radius
-35.3886071,149.0518569,,Item 133,"Supermarket 'IGA Kambah' (1,200 sqm) with no adjacent pharmacy (nearest 1.05 km)",65%,1.05,Capital Chemist Kambah,IGA Kambah,supermarket,ACT,2026-02-14T16:49:26.809397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist (1m)
-35.2591886,149.0632621,,Item 133,"Supermarket 'The Cook Grocer' (1,500 sqm) with no adjacent pharmacy (nearest 1.04 km)",65%,1.04,Optimal Pharmacy Plus Jamison,The Cook Grocer,supermarket,ACT,2026-02-14T16:49:26.795397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Optimal Pharmacy Plus (1m); Priceline Pharmacy (1m); Chemist Warehouse (1m)
-35.4503864,149.083928,,Item 133,"Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.01 km)",65%,1.01,Lanyon Pharmacy,IGA,supermarket,ACT,2026-02-14T16:49:26.811397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Lanyon Pharmacy (1m)
-35.183099,149.0985694,"Nicholls IGA, Paisley Street, Nicholls, District of Gungahlin, Australian Capital Territory, 2913, Australia",Item 133,"Supermarket 'Nicholls IGA' (1,200 sqm) with no adjacent pharmacy (nearest 990 m)",65%,0.99,Priceline Pharmacy Casey,Nicholls IGA,supermarket,ACT,2026-02-14T16:49:26.779398,VERIFIED,No pharmacies found in OSM within search radius
-35.2133484,149.0956481,,Item 133,"Supermarket 'Giralang IGA & Cellarbrations' (1,200 sqm) with no adjacent pharmacy (nearest 983 m)",65%,0.98,Kaleen Plaza Pharmacy,Giralang IGA & Cellarbrations,supermarket,ACT,2026-02-14T16:49:26.808397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Caremore Pharmacy (1m)
-35.3392821,149.0767946,"IGA, Lyons Place, Lyons Shopping Village, Lyons, District of Woden Valley, Australian Capital Territory, 2606, Australia",Item 133,"Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 937 m)",65%,0.94,Chemist Warehouse,IGA,supermarket,ACT,2026-02-14T16:49:26.787398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Chemist Warehouse (1m); Priceline pharmacy (1m)
-35.264018,149.1327917,,Item 133,"Supermarket 'Braddon Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 925 m)",65%,0.93,Capital Chemist O'Connor,Braddon Supermarket,supermarket,ACT,2026-02-14T16:49:26.796397,VERIFIED,All 3 nearby OSM pharmacies already in DB: Capital Chemist O'Connor (1m); Ainslie Pharmacy (1m); Capital Chemist Lyneham (1m)
-35.3552417,149.0981765,"Friendly Grocer, 84, Ainsworth Street, Mawson, District of Woden Valley, Australian Capital Territory, 2607, Australia",Item 133,"Supermarket 'Friendly Grocer' (1,200 sqm) with no adjacent pharmacy (nearest 750 m)",65%,0.75,Garran Pharmacy,Friendly Grocer,supermarket,ACT,2026-02-14T16:49:26.788397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Garran Pharmacy (1m); Colbee Court Pharmacy (1m); TCH Pharmacy (1m)
-35.2390953,149.0822389,,Item 133,"Supermarket 'UC Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 679 m)",65%,0.68,Capital Chemist University of Canberra,UC Supermarket,supermarket,ACT,2026-02-14T16:49:26.804397,VERIFIED,All 5 nearby OSM pharmacies already in DB: Capital Chemist Bruce (1m); Priceline Pharmacy (1m); TerryWhite Chemmart (1m)
