latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-23.2755176,129.38779565,"Kintore Health Centre, Yunytju Street, Kintore, Macdonnell Region, Northern Territory, Australia",Kintore Community Store,supermarket,NT,"Item 131, Item 134A",90%,459.65,United Chemists Northside Pharmacy NT,420,420,0,0,0.8,4368,0.0,True,,,110880.0,391616.0,-280736.0,657500,-0.427,999.0,-2517463.31,77616.0,-345964.88,-0.5262,-2949624.93,144144.0,-229266.72,-0.3487,-2176463.33
-13.98075605,136.4611424,,Angurugu Community Store,supermarket,NT,"Item 131, Item 134A",90%,202.95,Gove Pharmacy,883,883,0,0,0.8,9183,0.0,True,,,233112.0,477178.4,-244066.4,657500,-0.3712,999.0,-2274515.81,163178.4,-329280.21,-0.5008,-2839083.82,303045.6,-170473.13,-0.2593,-1786937.49
-14.275415,135.7413994,,Numbulwar Health Centre,gp,NT,"Item 131, Item 134A",90%,258.62,Gove Pharmacy,681,681,0,0,0.8,7082,0.0,True,,,179784.0,439848.8,-260064.8,657500,-0.3955,999.0,-2380510.19,125848.8,-336559.48,-0.5119,-2887311.26,233719.2,-196123.9,-0.2983,-1956881.81
-17.4435665,130.8306822,,Kalkaringi Health Centre,gp,NT,"Item 131, Item 134A",90%,289.87,Kununurra Pharmacy,544,544,0,0,0.8,5657,0.0,True,,,143616.0,414531.2,-270915.2,657500,-0.412,999.0,-2452397.46,100531.2,-341496.42,-0.5194,-2920019.97,186700.8,-213520.7,-0.3247,-2072141.07
-24.243356,131.510436,,Medical Practice,gp,NT,"Item 131, Item 134A",90%,247.95,United Chemists Northside Pharmacy NT,600,600,0,0,0.8,6240,0.0,True,,,158400.0,424880.0,-266480.0,657500,-0.4053,999.0,-2423012.88,110880.0,-339478.4,-0.5163,-2906649.98,205920.0,-206409.6,-0.3139,-2025027.8
-13.8514094,136.4177153,,Xpress Mart,supermarket,NT,"Item 131, Item 134A",90%,189.67,Gove Pharmacy,751,751,0,0,0.8,7810,0.0,True,,,198264.0,452784.8,-254520.8,657500,-0.3871,999.0,-2343779.46,138784.8,-334036.96,-0.508,-2870598.78,257743.2,-187235.02,-0.2848,-1897990.21
-12.6641036,132.8365538,,Aurora Kakadu Lodge,supermarket,NT,"Item 131, Item 134A",90%,188.55,TerryWhite Chemmart Humpty Doo,755,755,0,0,0.8,7852,0.0,True,,,199320.0,453524.0,-254204.0,657500,-0.3866,999.0,-2341680.56,139524.0,-333892.82,-0.5078,-2869643.78,259116.0,-186727.08,-0.284,-1894624.98
-13.8480945,136.4212055,,Alyangula Health Centre,gp,NT,"Item 131, Item 134A",90%,189.23,Gove Pharmacy,751,751,0,0,0.8,7810,0.0,True,,,198264.0,452784.8,-254520.8,657500,-0.3871,999.0,-2343779.46,138784.8,-334036.96,-0.508,-2870598.78,257743.2,-187235.02,-0.2848,-1897990.21
-16.8149686,131.2201018,,Pigeon Hole Health Centre,gp,NT,"Item 131, Item 134A",90%,284.11,Territory Pharmacy Terrace,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-12.67222565,132.83186485,"Jabiru Community Health Centre, Flinders Street, Jabiru, West Arnhem Region, Northern Territory, 0886, Australia",Jabiru Foodland,supermarket,NT,"Item 131, Item 134A",90%,188.13,TerryWhite Chemmart Humpty Doo,755,755,0,0,0.8,7852,0.0,True,,,199320.0,453524.0,-254204.0,657500,-0.3866,999.0,-2341680.56,139524.0,-333892.82,-0.5078,-2869643.78,259116.0,-186727.08,-0.284,-1894624.98
-15.2215285,134.0826122,,Minyerri Health Clinic,gp,NT,"Item 131, Item 134A",90%,212.60,Pharmasave Katherine Pharmacy,650,650,0,0,0.8,6760,0.0,True,,,171600.0,434120.0,-262520.0,657500,-0.3993,999.0,-2396776.65,120120.0,-337676.6,-0.5136,-2894712.5,223080.0,-200060.4,-0.3043,-1982962.37
-11.6499096,133.3904146,,Warruwi Health Centre,gp,NT,"Item 131, Item 134A",90%,269.26,TerryWhite Chemmart Humpty Doo,432,432,0,0,0.8,4492,0.0,True,,,114048.0,393833.6,-279785.6,657500,-0.4255,999.0,-2511166.62,79833.6,-345532.45,-0.5255,-2946759.94,148262.4,-227742.91,-0.3464,-2166367.62
-24.873671,129.081225,,Kaltukatjara Health Centre,gp,NT,"Item 131, Item 134A",90%,503.15,Territory Pharmacy Alice Springs,229,229,0,0,0.8,2381,0.0,True,,,60456.0,356319.2,-295863.2,657500,-0.45,999.0,-2617685.72,42319.2,-352847.76,-0.5367,-2995226.13,78592.8,-253520.66,-0.3856,-2337153.25
-24.8735525,129.0834813,,Docker River Community Store,supermarket,NT,"Item 131, Item 134A",90%,502.93,Territory Pharmacy Alice Springs,229,229,0,0,0.8,2381,0.0,True,,,60456.0,356319.2,-295863.2,657500,-0.45,999.0,-2617685.72,42319.2,-352847.76,-0.5367,-2995226.13,78592.8,-253520.66,-0.3856,-2337153.25
-18.3664822,135.8603377,,Corrella Creek Health Centre,gp,NT,"Item 131, Item 134A",90%,225.73,United Chemists Tennant Creek,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-22.2074436,133.430551,,Pmara Jutunta Health Centre,gp,NT,"Item 131, Item 134A",90%,170.46,United Chemists Northside Pharmacy NT,653,653,0,0,0.8,6791,0.0,True,,,172392.0,434674.4,-262282.4,657500,-0.3989,999.0,-2395202.47,120674.4,-337568.49,-0.5134,-2893996.25,224109.6,-199679.45,-0.3037,-1980438.45
-21.6592971,135.22454,,Ampilatwatja Health Centre,gp,NT,"Item 131, Item 134A",90%,248.60,United Chemists Tennant Creek,439,439,0,0,0.8,4565,0.0,True,,,115896.0,395127.2,-279231.2,657500,-0.4247,999.0,-2507493.55,81127.2,-345280.2,-0.5251,-2945088.69,150664.8,-226854.02,-0.345,-2160478.46
-11.761109,130.6312938,,Piliyamanyirra Supermarket,supermarket,NT,Item 131,70%,71.53,Territory Pharmacy Northpharm,1521,1521,0,0,0.8,15818,0.0,True,,,401544.0,595080.8,-193536.8,657500,-0.2944,999.0,-1939741.49,281080.8,-306289.24,-0.4658,-2686761.5,522007.2,-89457.34,-0.1361,-1250182.67
-11.7588517,130.63898026666666,,Julanimawu Health Care Centre,gp,NT,Item 131,70%,71.46,Territory Pharmacy Northpharm,1521,1521,0,0,0.8,15818,0.0,True,,,401544.0,595080.8,-193536.8,657500,-0.2944,999.0,-1939741.49,281080.8,-306289.24,-0.4658,-2686761.5,522007.2,-89457.34,-0.1361,-1250182.67
-21.740422549999998,133.73175880000002,,Wilora Health Centre,gp,NT,"Item 131, Item 134A",90%,216.75,United Chemists Northside Pharmacy NT,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-25.3476433,131.0633555,,Mutitjulu Health Centre,gp,NT,"Item 131, Item 134A",90%,334.97,Territory Pharmacy Alice Springs,296,296,0,0,0.8,3078,0.0,True,,,78144.0,368700.8,-290556.8,657500,-0.4419,999.0,-2582529.17,54700.8,-350433.34,-0.533,-2979229.9,101587.2,-245012.74,-0.3726,-2280785.58
-13.782681,136.1953861,,Milyakburra Health Centre,gp,NT,"Item 131, Item 134A",90%,188.96,Gove Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-12.5026861,135.8054722,,Gapuwiyak Health Centre,gp,NT,"Item 131, Item 134A",90%,112.33,Gove Pharmacy,828,828,0,0,0.8,8611,0.0,True,,,218592.0,467014.4,-248422.4,657500,-0.3778,999.0,-2303375.66,153014.4,-331262.19,-0.5038,-2852215.05,284169.6,-177457.25,-0.2699,-1833209.46
-23.2041267,131.909096,,Papunya Health Centre,gp,NT,"Item 131, Item 134A",90%,207.38,United Chemists Northside Pharmacy NT,438,438,0,0,0.8,4555,0.0,True,,,115632.0,394942.4,-279310.4,657500,-0.4248,999.0,-2508018.27,80942.4,-345316.23,-0.5252,-2945327.44,150321.6,-226981.01,-0.3452,-2161319.77
-22.6484873,130.5530448,,Nyirripi Health Centre,gp,NT,"Item 131, Item 134A",90%,358.44,United Chemists Northside Pharmacy NT,251,251,0,0,0.8,2610,0.0,True,,,66264.0,360384.8,-294120.8,657500,-0.4473,999.0,-2606141.78,46384.8,-352054.96,-0.5354,-2989973.63,86143.2,-250727.02,-0.3813,-2318644.46
-13.6650614,134.3324654,,Bulman Health Centre,gp,NT,"Item 131, Item 134A",90%,240.06,Pharmasave Katherine Pharmacy,363,363,0,0,0.8,3775,0.0,True,,,95832.0,381082.4,-285250.4,657500,-0.4338,999.0,-2547372.62,67082.4,-348018.93,-0.5293,-2963233.66,124581.6,-236504.81,-0.3597,-2224417.91
-23.9423066,132.7799582,"Ntaria Supermarket, Tjalkavota Road, Hermannsburg, Macdonnell Region, Northern Territory, Australia",Ntaria Supermarket,supermarket,NT,"Item 131, Item 134A",90%,114.82,United Chemists Northside Pharmacy NT,751,751,0,0,0.8,7810,0.0,True,,,198264.0,452784.8,-254520.8,657500,-0.3871,999.0,-2343779.46,138784.8,-334036.96,-0.508,-2870598.78,257743.2,-187235.02,-0.2848,-1897990.21
-13.8595817,130.002026,,Woodycupaldiya Health Centre,gp,NT,"Item 131, Item 134A",90%,168.96,Berry Springs Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-13.8601312,136.8087278,,Umbakumba Health Centre,gp,NT,"Item 131, Item 134A",90%,186.39,Gove Pharmacy,419,419,0,0,0.8,4357,0.0,True,,,110616.0,391431.2,-280815.2,657500,-0.4271,999.0,-2517988.04,77431.2,-346000.92,-0.5262,-2949863.68,143800.8,-229393.7,-0.3489,-2177304.63
-15.647777,130.4661091,,Timber Creek Health Centre,gp,NT,"Item 131, Item 134A",90%,185.29,Amcal+ Pharmacy Kununurra,421,421,0,0,0.8,4378,0.0,True,,,111144.0,391800.8,-280656.8,657500,-0.4269,999.0,-2516938.59,77800.8,-345928.84,-0.5261,-2949386.18,144487.2,-229139.74,-0.3485,-2175622.02
-16.7594289,136.980186,,Robinson River Health Centre,gp,NT,"Item 131, Item 134A",90%,417.79,Karumba Pharmacy,180,180,0,0,0.8,1872,0.0,True,,,47520.0,347264.0,-299744.0,657500,-0.4559,999.0,-2643397.23,33264.0,-354613.52,-0.5393,-3006924.86,61776.0,-259742.88,-0.395,-2378377.36
-23.943210999999998,132.77503335,"Hermannsburg, Macdonnell Region, Northern Territory, Australia",Fink River Mission General Store,supermarket,NT,"Item 131, Item 134A",90%,115.28,United Chemists Northside Pharmacy NT,651,651,0,0,0.8,6770,0.0,True,,,171864.0,434304.8,-262440.8,657500,-0.3991,999.0,-2396251.92,120304.8,-337640.56,-0.5135,-2894473.75,223423.2,-199933.42,-0.3041,-1982121.06
-14.3521044,129.8822919,,Nganmarriyanga Health Centre,gp,NT,"Item 131, Item 134A",90%,200.14,Amcal+ Pharmacy Kununurra,364,364,0,0,0.8,3785,0.0,True,,,96096.0,381267.2,-285171.2,657500,-0.4337,999.0,-2546847.89,67267.2,-347982.9,-0.5293,-2962994.92,124924.8,-236377.82,-0.3595,-2223576.6
-22.4513095,134.2097098,,Medical Clinic,gp,NT,"Item 131, Item 134A",90%,141.47,United Chemists Northside Pharmacy NT,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-17.5540475,133.5409913,,Elliott Health Centre,gp,NT,"Item 131, Item 134A",90%,242.23,United Chemists Tennant Creek,287,287,0,0,0.8,2984,0.0,True,,,75768.0,367037.6,-291269.6,657500,-0.443,999.0,-2587251.69,53037.6,-350757.67,-0.5335,-2981378.64,98498.4,-246155.59,-0.3744,-2288357.36
-16.4477628,130.8838297,"Yarralin, Victoria Daly Region, Northern Territory, Australia",Yaralin Store,supermarket,NT,"Item 131, Item 134A",90%,240.87,Kununurra Pharmacy,283,283,0,0,0.8,2943,0.0,True,,,74712.0,366298.4,-291586.4,657500,-0.4435,999.0,-2589350.59,52298.4,-350901.81,-0.5337,-2982333.64,97125.6,-246663.53,-0.3752,-2291722.59
-13.1997421,136.2258172,,Baniyala Health Centre,gp,NT,"Item 131, Item 134A",90%,128.29,Gove Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-19.0060212,135.1785447,,Wogyala Health Centre,gp,NT,"Item 131, Item 134A",90%,125.53,United Chemists Tennant Creek,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-20.98555525,137.84893160000001,"Alpurrurulam Store, Apetyarr Street, Alpurrurulam, Barkly Region, Northern Territory, Australia",Alpurrurulam Store,supermarket,NT,"Item 131, Item 134A",90%,172.98,Mount Isa 7 Day Pharmacy West Street,350,350,0,0,0.8,3640,0.0,True,,,92400.0,378680.0,-286280.0,657500,-0.4354,999.0,-2554194.04,64680.0,-348487.4,-0.53,-2966337.41,120120.0,-238155.6,-0.3622,-2235354.92
-23.4466338,131.8833632,,Haasts Bluff Health Centre,gp,NT,"Item 131, Item 134A",90%,204.52,United Chemists Northside Pharmacy NT,296,296,0,0,0.8,3078,0.0,True,,,78144.0,368700.8,-290556.8,657500,-0.4419,999.0,-2582529.17,54700.8,-350433.34,-0.533,-2979229.9,101587.2,-245012.74,-0.3726,-2280785.58
-21.003645,134.4074941,,Ali Curung Health Centre,gp,NT,"Item 131, Item 134A",90%,152.92,United Chemists Tennant Creek,394,394,0,0,0.8,4097,0.0,True,,,104016.0,386811.2,-282795.2,657500,-0.4301,999.0,-2531106.15,72811.2,-346901.82,-0.5276,-2955832.42,135220.8,-232568.3,-0.3537,-2198337.35
-16.4274295,129.6198914,,Amanbidji Health Centre,gp,NT,"Item 131, Item 134A",90%,118.71,Kununurra Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,406400.0,-274400.0,657500,-0.4173,999.0,-2475485.34,92400.0,-343082.0,-0.5218,-2930524.96,171600.0,-219108.0,-0.3332,-2109158.65
-21.2474267,132.609431,,Willowra Health Centre,gp,NT,"Item 131, Item 134A",90%,242.83,United Chemists Tennant Creek,222,222,0,0,0.8,2308,0.0,True,,,58608.0,355025.6,-296417.6,657500,-0.4508,999.0,-2621358.79,41025.6,-353100.01,-0.537,-2996897.37,76190.4,-254409.55,-0.3869,-2343042.41
-14.5547275,133.11380675,"Ngalagan Street, Wugularr, Beswick, Roper Gulf Region, Northern Territory, Australia",Beswick Store,supermarket,NT,"Item 131, Item 134A",90%,91.90,Pharmasave Katherine Pharmacy,542,542,0,0,0.8,5636,0.0,True,,,143088.0,414161.6,-271073.6,657500,-0.4123,999.0,-2453446.91,100161.6,-341568.49,-0.5195,-2920497.47,186014.4,-213774.67,-0.3251,-2073823.69
-23.2663491,131.2735667,"Mount Liebig Store, Nampitjinpa Street, Mount Liebig, Macdonnell Region, Northern Territory, Australia",Mount Liebig Store,supermarket,NT,"Item 131, Item 134A",90%,269.22,United Chemists Northside Pharmacy NT,169,169,0,0,0.8,1757,0.0,True,,,44616.0,345231.2,-300615.2,657500,-0.4572,999.0,-2649169.2,31231.2,-355009.92,-0.5399,-3009551.11,58000.8,-261139.7,-0.3972,-2387631.76
-11.4211412,130.6733702,,Milikapiti Health Centre,gp,NT,"Item 131, Item 134A",90%,106.37,Territory Pharmacy Northpharm,414,414,0,0,0.8,4305,0.0,True,,,109296.0,390507.2,-281211.2,657500,-0.4277,999.0,-2520611.66,76507.2,-346181.1,-0.5265,-2951057.43,142084.8,-230028.62,-0.3499,-2181511.18
-14.9271251,133.069862,,Mataranka Supermarket,supermarket,NT,"Item 131, Item 134A",90%,100.56,Pharmasave Katherine Pharmacy,427,427,0,0,0.8,4440,0.0,True,,,112728.0,392909.6,-280181.6,657500,-0.4261,999.0,-2513790.24,78909.6,-345712.63,-0.5258,-2947953.68,146546.4,-228377.83,-0.3473,-2170574.17
-14.9249436,133.0685153,"Foodworks, Stuart Highway, Mulggan, Mataranka, Roper Gulf Region, Northern Territory, Australia",Foodworks,supermarket,NT,"Item 130, Item 131, Item 133, Item 134A",90%,100.31,Pharmasave Katherine Pharmacy,427,427,0,0,0.8,4440,0.0,True,,,112728.0,392909.6,-280181.6,657500,-0.4261,999.0,-2513790.24,78909.6,-345712.63,-0.5258,-2947953.68,146546.4,-228377.83,-0.3473,-2170574.17
-14.9233521,133.0658854,"Mataranka Health Centre, 13, Elsey Street, Mataranka, Roper Gulf Region, Northern Territory, 0852, Australia",Mataranka Health Centre,gp,NT,"Item 130, Item 131, Item 134A",90%,99.98,Pharmasave Katherine Pharmacy,427,427,0,0,0.8,4440,0.0,True,,,112728.0,392909.6,-280181.6,657500,-0.4261,999.0,-2513790.24,78909.6,-345712.63,-0.5258,-2947953.68,146546.4,-228377.83,-0.3473,-2170574.17
-13.7499469,130.6920893,,Nauiyu Health Centre,gp,NT,"Item 131, Item 134A",90%,121.57,Berry Springs Pharmacy,350,350,0,0,0.8,3640,0.0,True,,,92400.0,378680.0,-286280.0,657500,-0.4354,999.0,-2554194.04,64680.0,-348487.4,-0.53,-2966337.41,120120.0,-238155.6,-0.3622,-2235354.92
-22.9839802,134.935533,,Atitjere Store,supermarket,NT,"Item 131, Item 134A",90%,133.47,Priceline Pharmacy Alice Springs,304,304,0,0,0.8,3161,0.0,True,,,80256.0,370179.2,-289923.2,657500,-0.4409,999.0,-2578331.37,56179.2,-350145.06,-0.5325,-2977319.9,104332.8,-243996.86,-0.3711,-2274055.11
-22.9859807,134.9325143,,Atitjere Health Centre,gp,NT,"Item 131, Item 134A",90%,133.09,Priceline Pharmacy Alice Springs,304,304,0,0,0.8,3161,0.0,True,,,80256.0,370179.2,-289923.2,657500,-0.4409,999.0,-2578331.37,56179.2,-350145.06,-0.5325,-2977319.9,104332.8,-243996.86,-0.3711,-2274055.11
-25.5808646,134.5762556,,Finke Health Centre,gp,NT,"Item 131, Item 134A",90%,209.12,Territory Pharmacy Alice Springs,191,191,0,0,0.8,1986,0.0,True,,,50424.0,349296.8,-298872.8,657500,-0.4546,999.0,-2637625.26,35296.8,-354217.12,-0.5387,-3004298.61,65551.2,-258346.06,-0.3929,-2369122.97
-11.4060526,130.418099,,Pirlangimpi Health Centre,gp,NT,"Item 131, Item 134A",90%,117.06,Territory Pharmacy Northpharm,317,317,0,0,0.8,3296,0.0,True,,,83688.0,372581.6,-288893.6,657500,-0.4394,999.0,-2571509.95,58581.6,-349676.59,-0.5318,-2974216.15,108794.4,-242346.07,-0.3686,-2263118.1
-24.1308387,134.3755784,,Ltyentye Purte Health Centre,gp,NT,Item 131,70%,60.12,Territory Pharmacy Alice Springs,603,603,0,0,0.8,6271,0.0,True,,,159192.0,425434.4,-266242.4,657500,-0.4049,999.0,-2421438.71,111434.4,-339370.29,-0.5162,-2905933.74,206949.6,-206028.65,-0.3134,-2022503.87
-14.1561649,130.0805704,,Peppimenarti Health Centre,gp,NT,"Item 131, Item 134A",90%,190.58,Berry Springs Pharmacy,185,185,0,0,0.8,1924,0.0,True,,,48840.0,348188.0,-299348.0,657500,-0.4553,999.0,-2640773.6,34188.0,-354433.34,-0.5391,-3005731.11,63492.0,-259107.96,-0.3941,-2374170.82
-22.2568853,132.2077877,,Yuelamu Health Centre,gp,NT,"Item 131, Item 134A",90%,233.01,United Chemists Northside Pharmacy NT,149,149,0,0,0.8,1549,0.0,True,,,39336.0,341535.2,-302199.2,657500,-0.4596,999.0,-2659663.69,27535.2,-355730.64,-0.541,-3014326.1,51136.8,-263679.38,-0.401,-2404457.93
-13.8225756,131.83039,,Pine Creek Health Centre,gp,NT,Item 131,70%,85.34,Territory Pharmacy Terrace,392,392,0,0,0.8,4076,0.0,True,,,103488.0,386441.6,-282953.6,657500,-0.4303,999.0,-2532155.6,72441.6,-346973.89,-0.5277,-2956309.92,134534.4,-232822.27,-0.3541,-2200019.96
