Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-30.591720875,138.398731875,"Leigh Creek Hospital, Black Oak Drive, Leigh Creek, Pastoral Unincorporated Area, South Australia, 5731, Australia","Item 131, Item 134A","Near 'Leigh Creek Foodland' (supermarket); straight-line 218.93 km, est. route 284.61 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Leigh Creek Foodland' (supermarket); straight-line 218.93 km, est. route 284.61 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Leigh Creek Hospital' (hospital); straight-line 218.95 km, est. route 284.63 km from nearest pharmacy | Near 'Leigh Creek Health Service' (hospital); straight-line 218.96 km, est. route 284.65 km from nearest pharmacy | Very remote -- 'Leigh Creek Foodland' (supermarket) is 218.93 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Leigh Creek Foodland' (supermarket) is 218.93 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Leigh Creek Hospital' (hospital) is 218.95 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Leigh Creek Health Service' (hospital) is 218.96 km from nearest pharmacy (threshold 90 km)",90%,218.93,United Chemists Westside,Leigh Creek Foodland,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.826663
-27.7464648,140.7366777,"RFDS Clinic Innamincka, Browne Street, Innamincka, Pastoral Unincorporated Area, South Australia, 5731, Australia","Item 131, Item 134A","Near 'RFDS Clinic Innamincka' (gp); straight-line 371.53 km, est. route 482.98 km from nearest pharmacy | Very remote -- 'RFDS Clinic Innamincka' (gp) is 371.53 km from nearest pharmacy (threshold 90 km)",90%,371.53,Quilpie Pharmacy,RFDS Clinic Innamincka,gp,,SA,2026-02-14T21:58:34.827664
-27.300916,133.6214568,"Marla Health Services, Cockatoo Crescent, Marla, Pastoral Unincorporated Area, South Australia, 5724, Australia","Item 131, Item 134A","Near 'Marla Health Services' (gp); straight-line 220.40 km, est. route 286.52 km from nearest pharmacy | Very remote -- 'Marla Health Services' (gp) is 220.40 km from nearest pharmacy (threshold 90 km)",90%,220.40,Coober Pedy Pharmacy,Marla Health Services,gp,,SA,2026-02-14T21:58:34.829664
-29.6495801,138.0621288,"Marree Health Service, 45, First Street, Marree, Pastoral Unincorporated Area, South Australia, 5733, Australia","Item 131, Item 134A","Near 'Marree Health Service' (gp); straight-line 316.44 km, est. route 411.37 km from nearest pharmacy | Very remote -- 'Marree Health Service' (gp) is 316.44 km from nearest pharmacy (threshold 90 km)",90%,316.44,United Chemists Westside,Marree Health Service,gp,,SA,2026-02-14T21:58:34.830664
-26.1515307,131.1467555,"Nganampa Health Council Amata Clinic, Ngari Place, Amata, Anangu Pitjantjatjara Yankunytjatjara, South Australia, 0872, Australia","Item 131, Item 134A","Near 'Nganampa Health Council Amata Clinic' (gp); straight-line 381.63 km, est. route 496.12 km from nearest pharmacy | Very remote -- 'Nganampa Health Council Amata Clinic' (gp) is 381.63 km from nearest pharmacy (threshold 90 km)",90%,381.63,Territory Pharmacy Alice Springs,Nganampa Health Council Amata Clinic,gp,,SA,2026-02-14T21:58:34.831663
-30.5626574,136.8942395,"Roxby Downs Hospital, 16-28, Burgoyne Street, Roxby Downs, Municipal Council of Roxby Downs, South Australia, 5725, Australia","Item 131, Item 134A","Near 'Roxby Downs Hospital' (hospital); straight-line 228.72 km, est. route 297.34 km from nearest pharmacy | Very remote -- 'Roxby Downs Hospital' (hospital) is 228.72 km from nearest pharmacy (threshold 90 km)",90%,228.72,United Chemists Westside,Roxby Downs Hospital,hospital,,SA,2026-02-14T21:58:34.832663
-27.5451927,135.4458198,"Oodnadatta Hospital, Oribee Avenue, Oodnadatta, Pastoral Unincorporated Area, South Australia, 5734, Australia","Item 131, Item 134A","Near 'Oodnadatta Hospital' (hospital); straight-line 176.66 km, est. route 229.65 km from nearest pharmacy | Very remote -- 'Oodnadatta Hospital' (hospital) is 176.66 km from nearest pharmacy (threshold 90 km)",90%,176.66,Coober Pedy Pharmacy,Oodnadatta Hospital,hospital,,SA,2026-02-14T21:58:34.833663
-31.8934242,138.42780705,"Hawker Hospital, Cradock Road, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia","Item 131, Item 134A","Near 'Hawker Hospital' (hospital); straight-line 90.35 km, est. route 117.46 km from nearest pharmacy | Near 'Hawker Memorial Hospital' (hospital); straight-line 90.34 km, est. route 117.45 km from nearest pharmacy | Very remote -- 'Hawker Hospital' (hospital) is 90.35 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Hawker Memorial Hospital' (hospital) is 90.34 km from nearest pharmacy (threshold 90 km)",90%,90.35,United Chemist Port Augusta,Hawker Hospital,hospital,,SA,2026-02-14T21:58:34.834664
-33.2699585,138.3566079,"IGA Gladstone, 48, Gladstone Street, Gladstone, Northern Areas Council, South Australia, 5473, Australia","Item 131, Item 133","Near 'IGA Gladstone' (supermarket); route distance 11.53 km from nearest pharmacy (verified via OSRM). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'IGA Gladstone' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 10.82 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",85%,11.53,Chris Ramsay Chemist,IGA Gladstone,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.836663
-34.8321,138.6836,,Item 132,"Major shopping centre 'Westfield Tea Tree Plaza' (GLA 80,000 sqm, est. 300 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",85%,0.24,Modbury Triangle Pharmacy,Westfield Tea Tree Plaza,shopping_centre,,SA,2026-02-14T21:58:34.837663
-34.9251529,138.5992786,,Item 132,"Major shopping centre 'Savings Bank Building' (GLA 22,000 sqm, est. 110 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",85%,0.21,Unknown Pharmacy,Savings Bank Building,shopping_centre,,SA,2026-02-14T21:58:34.838663
-34.1805568,140.78281116666668,,"Item 130, Item 133","Supermarket 'IGA Local Grocer' (est. GLA 1500 sqm, brand: iga) + GP 'Dr John Gurr' (1.0 FTE) within 500 m; 3.13 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | GP 'Dr John Gurr' (1.0 FTE) + Supermarket 'IGA Local Grocer' (est. GLA 1500 sqm, brand: iga) within 500 m; 3.22 km from nearest pharmacy | Supermarket 'IGA Local Grocer' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 3.13 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,3.13,Priceline Pharmacy Renmark,IGA Local Grocer,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.839663
-35.01871,138.6157937,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 206 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.21,TerryWhite Chemmart Main Road Blackwood,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.840663
-34.9420645,138.6412932,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 111 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.11,The Village Pharmacy,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.841663
-34.717154300000004,138.66675329999998,,"Item 133, Item 134","Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 121 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'McDonald's' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",75%,0.12,Priceline Pharmacy Elizabeth,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.843663
-37.8081941,140.7940022,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 124 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.12,Priceline Pharmacy Marketplace Mount Gambier,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.844664
-34.6702618,138.6796271,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 100 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.10,TerryWhite Chemmart Playford,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.845663
-34.8306405,138.6935739,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 101 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.10,Priceline Pharmacy,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.846663
-32.49255755,137.76387565,,"Item 133, Item 134","Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 287 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Northern Gateway Shopping Centre' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",75%,0.29,Good Price Pharmacy Port Augusta,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.847663
-34.8811731,138.4914867,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 120 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.12,Better Health Pharmacy West Lakes,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.848664
-35.1382065,138.4812467,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 116 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.12,TerryWhite Chemmart Christies Guild,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.849663
-33.0209725,137.5411879,,"Item 133, Item 134","Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 787 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Woolworths' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",75%,0.79,TerryWhite Chemmart Westland,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.850663
-34.7220832,135.859321,,Item 133,"Supermarket 'Woolworths' (est. GLA 3,500 sqm, brand: woolworths) with no adjacent pharmacy (nearest 118 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.12,TerryWhite Chemmart Port Lincoln,Woolworths,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.852663
-34.9793381,138.5155069,,Item 133,"Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 123 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.12,Glenelg Health foods,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.853663
-35.53446735,138.63750535,,"Item 133, Item 134","Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 341 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'The Reject Shop' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",75%,0.34,TerryWhite Chemmart Hayborough Pharmacy,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.857663
-33.8645692,138.0066256,,Item 131,"Near 'Bute Corner Store' (supermarket); straight-line 29.21 km, est. route 37.98 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,29.21,Priceline Pharmacy,Bute Corner Store,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.858663
-34.6765929,139.6514251,,Item 131,"Near 'Nildottie Friendly Grocer' (supermarket); straight-line 40.66 km, est. route 52.85 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,40.66,TerryWhite Chemmart Mannum Riverside,Nildottie Friendly Grocer,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.859663
-33.4985739,138.6076676,,"Item 131, Item 133","Near 'Spalding General Store' (supermarket); straight-line 32.54 km, est. route 42.30 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Spalding General Store' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 32.54 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,32.54,Jamestown Pharmacy,Spalding General Store,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.860664
-33.9121228,136.569823,,Item 131,"Near 'Arno Bay Supermarket - Friendly Grocer' (supermarket); straight-line 24.43 km, est. route 31.76 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,24.43,Cleve Pharmacy,Arno Bay Supermarket - Friendly Grocer,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.861663
-33.2330901,134.6729435,,Item 131,"Near 'Venus Bay General Store' (supermarket); straight-line 50.36 km, est. route 65.47 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,50.36,Elliston Pharmacy,Venus Bay General Store,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.863663
-34.6221532,135.4663195,,"Item 131, Item 133","Near 'IGA Coffin Bay' (supermarket); straight-line 37.74 km, est. route 49.06 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'IGA Coffin Bay' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 37.74 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,37.74,TerryWhite Chemmart Port Lincoln,IGA Coffin Bay,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.864664
-32.3456828,138.0423612,,"Item 131, Item 133","Near 'IGA Quorn' (supermarket); straight-line 29.67 km, est. route 38.57 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'IGA Quorn' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 29.67 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,29.67,United Chemist Port Augusta,IGA Quorn,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.865664
-32.5823507,139.5621351,,Item 131,"Near 'RFDS Clinic Yunta' (gp); straight-line 80.65 km, est. route 104.84 km from nearest pharmacy",70%,80.65,Peterborough Pharmacy,RFDS Clinic Yunta,gp,,SA,2026-02-14T21:58:34.867664
-35.5067732,139.1328016,,Item 131,"Near 'Health Clinic' (gp); straight-line 18.26 km, est. route 23.73 km from nearest pharmacy",70%,18.26,Milang Pharmacy,Health Clinic,gp,,SA,2026-02-14T21:58:34.868664
-32.3510421,138.0385777,,Item 131,"Near 'Quorn District and Memorial Hospital' (hospital); straight-line 29.05 km, est. route 37.76 km from nearest pharmacy",70%,29.05,United Chemist Port Augusta,Quorn District and Memorial Hospital,hospital,,SA,2026-02-14T21:58:34.869664
-34.5985198,138.7466606,,Item 133,"Supermarket 'Drakes' (est. GLA 2,500 sqm, brand: drakes) with no adjacent pharmacy (nearest 196 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.20,TerryWhite Chemmart Gawler,Drakes,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.870663
-35.6544971,137.6392653,,Item 133,"Supermarket 'Drakes Foodland' (est. GLA 2,500 sqm, brand: drakes) with no adjacent pharmacy (nearest 194 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.19,TerryWhite Chemmart Kangaroo Island,Drakes Foodland,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.873663
-34.7896841,138.6932175,,Item 133,"Supermarket 'Drakes' (est. GLA 2,500 sqm, brand: drakes) with no adjacent pharmacy (nearest 171 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.17,Priceline Pharmacy The Grove,Drakes,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.894664
