Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score,Growth Indicator,Growth Details
-34.6765929,139.6514251,,Item 131,"Near 'Nildottie Friendly Grocer' (supermarket); straight-line 40.66 km, est. route 52.85 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,40.66,TerryWhite Chemmart Mannum Riverside,Nildottie Friendly Grocer,supermarket,SA,2026-02-14T21:58:34.859663,228,319,647,Unknown,0,-1,334.9,0,0,0,0,0,0.0,,12970.5,,
-35.5067732,139.1328016,,Item 131,"Near 'Health Clinic' (gp); straight-line 18.26 km, est. route 23.73 km from nearest pharmacy",70%,18.26,Milang Pharmacy,Health Clinic,gp,SA,2026-02-14T21:58:34.868664,608,608,608,Unknown,0,-1,638.4,0,0,0,0,0,0.0,,11102.1,,
-27.300916,133.6214568,"Marla Health Services, Cockatoo Crescent, Marla, Pastoral Unincorporated Area, South Australia, 5724, Australia","Item 131, Item 134A","Near 'Marla Health Services' (gp); straight-line 220.40 km, est. route 286.52 km from nearest pharmacy | Very remote -- 'Marla Health Services' (gp) is 220.40 km from nearest pharmacy (threshold 90 km)",90%,220.40,Coober Pedy Pharmacy,Marla Health Services,gp,SA,2026-02-14T21:58:34.829664,35,35,35,Unknown,0,-1,47.2,0,0,0,0,0,0.0,,7714.0,,
-27.3038059,133.622864,"Marla Roadhouse, Wattle Street, Marla, Pastoral Unincorporated Area, South Australia, 5724, Australia","Item 131, Item 134A","Near 'Marla Roadhouse' (supermarket); straight-line 220.05 km, est. route 286.07 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Marla Roadhouse' (supermarket) is 220.05 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,220.05,Coober Pedy Pharmacy,Marla Roadhouse,supermarket,SA,2026-02-14T21:58:34.824663,35,35,35,Unknown,0,-1,47.2,0,0,0,0,0,0.0,,7701.8,,
-27.7464648,140.7366777,"RFDS Clinic Innamincka, Browne Street, Innamincka, Pastoral Unincorporated Area, South Australia, 5731, Australia","Item 131, Item 134A","Near 'RFDS Clinic Innamincka' (gp); straight-line 371.53 km, est. route 482.98 km from nearest pharmacy | Very remote -- 'RFDS Clinic Innamincka' (gp) is 371.53 km from nearest pharmacy (threshold 90 km)",90%,371.53,Quilpie Pharmacy,RFDS Clinic Innamincka,gp,SA,2026-02-14T21:58:34.827664,20,20,20,Unknown,0,-1,27.0,0,0,0,0,0,0.0,,7430.6,,
-33.8645692,138.0066256,,Item 131,"Near 'Bute Corner Store' (supermarket); straight-line 29.21 km, est. route 37.98 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,29.21,Priceline Pharmacy,Bute Corner Store,supermarket,SA,2026-02-14T21:58:34.858663,228,228,228,Unknown,0,-1,239.4,0,0,0,0,0,0.0,,6659.9,,
-33.4985739,138.6076676,,"Item 131, Item 133","Near 'Spalding General Store' (supermarket); straight-line 32.54 km, est. route 42.30 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Spalding General Store' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 32.54 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,32.54,Jamestown Pharmacy,Spalding General Store,supermarket,SA,2026-02-14T21:58:34.860664,194,194,194,Unknown,0,-1,203.7,0,0,0,0,0,0.0,,6312.8,,
-33.9121228,136.569823,,Item 131,"Near 'Arno Bay Supermarket - Friendly Grocer' (supermarket); straight-line 24.43 km, est. route 31.76 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,24.43,Cleve Pharmacy,Arno Bay Supermarket - Friendly Grocer,supermarket,SA,2026-02-14T21:58:34.861663,219,219,219,Unknown,0,-1,229.9,0,0,0,0,0,0.0,,5350.2,,
-38.7020259,145.8204444,,Item 131,"Near 'Venus Bay General Store' (supermarket); straight-line 50.36 km, est. route 65.47 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,50.36,Elliston Pharmacy,Venus Bay General Store,supermarket,SA,2026-02-14T21:58:34.863663,42,91,91,Unknown,0,-1,95.5,0,0,0,0,0,0.0,,4582.8,,
-33.2699585,138.3566079,"IGA Gladstone, 48, Gladstone Street, Gladstone, Northern Areas Council, South Australia, 5473, Australia","Item 131, Item 133","Near 'IGA Gladstone' (supermarket); route distance 11.53 km from nearest pharmacy (verified via OSRM). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'IGA Gladstone' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 10.82 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",85%,11.53,Chris Ramsay Chemist,IGA Gladstone,supermarket,SA,2026-02-14T21:58:34.836663,623,740,1250,Gladstone,623,0.34,943.5,0,0,1,0,1,1.0,,4266.1,,
-32.5823507,139.5621351,,Item 131,"Near 'RFDS Clinic Yunta' (gp); straight-line 80.65 km, est. route 104.84 km from nearest pharmacy",70%,80.65,Peterborough Pharmacy,RFDS Clinic Yunta,gp,SA,2026-02-14T21:58:34.867664,49,49,49,Unknown,0,-1,51.4,0,0,0,0,0,0.0,,3951.9,,
-35.0113317,138.5494989,"Township Road, Marion, Adelaide, City of Marion, South Australia, 5043, Australia","Item 132, Item 136","Major shopping centre 'Westfield Marion' (GLA 105,000 sqm, est. 300 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment. | Medical centre 'Marion Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 870 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.87,Mitchell Park Pharmacy,Marion Medical Centre,medical_centre,SA,2026-02-14T21:58:34.814663,719429,1213855,1261117,Black Forest,1998,6.22,576581.1,35,91,169,89,80,339.5,"TerryWhite Chemmart Westfield Marion (0.9km, chain); Mitchell Park Pharmacy (0.9km, ind); TerryWhite Chemmart Marion Compounding (0.9km, chain)",3101.5,,
