Rank,Deal Score,Item,State,Pharmacy Name,Pharmacy Address,Target Centre,Distance (m),Centre Tenants,Centre GLA (sqm),Existing Pharmacies in Centre,Key Reason,Why Opportunity
111,0.65,Item 124,TAS,TerryWhite Chemmart Sorell,"31 Gordon Street, SORELL, TAS, 7172",Coles Plaza,402.0,20,5000.0,1,Pharmacy 'TerryWhite Chemmart Sorell' is 402m from large shopping centre 'Coles Plaza',pharmacy 402m from centre
112,0.65,Item 124,TAS,TerryWhite Chemmart Sorell,"31 Gordon Street, SORELL, TAS, 7172",Gateway Shopping Centre,444.0,20,5000.0,1,Pharmacy 'TerryWhite Chemmart Sorell' is 444m from large shopping centre 'Gateway Shopping Centre',pharmacy 444m from centre
113,0.65,Item 124,TAS,Chemist Warehouse New Town TAS,"Shop 10 Centro New Town Plaza 1 Risdon Rd, New Town, TAS, 7008",New Town Plaza,391.0,20,5000.0,1,Pharmacy 'Chemist Warehouse New Town TAS' is 391m from large shopping centre 'New Town Plaza',pharmacy 391m from centre
114,0.65,Item 124,TAS,Priceline Pharmacy Kingston,"SHOP 30, CHANNEL COURT SHOPPING CENTRE, CHANNEL HIGHWAY, KINGSTON, TAS, 7050",Kingston Town Shopping Centre,391.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy Kingston' is 391m from large shopping centre 'Kingston Town Shopping Centre',pharmacy 391m from centre
115,0.6,Item 124,TAS,Chemist Warehouse Launceston,"112A -116 Charles Street, LAUNCESTON, TAS, 7250",Anaconda,611.0,20,5000.0,1,Pharmacy 'Chemist Warehouse Launceston' is 611m from large shopping centre 'Anaconda',pharmacy 611m from centre
116,0.6,Item 124,TAS,Chemist Warehouse Launceston,"112A -116 Charles Street, LAUNCESTON, TAS, 7250",Reddy Express,633.0,20,5000.0,1,Pharmacy 'Chemist Warehouse Launceston' is 633m from large shopping centre 'Reddy Express',pharmacy 633m from centre
117,0.6,Item 124,TAS,Chemist Warehouse Launceston,"112A -116 Charles Street, LAUNCESTON, TAS, 7250",Gateway Shopping Centre (Launceston),730.0,28,7000.0,1,Pharmacy 'Chemist Warehouse Launceston' is 730m from large shopping centre 'Gateway Shopping Centre (Launceston)',pharmacy 730m from centre
118,0.6,Item 124,TAS,TerryWhite Chemmart Launceston City,"27-29 Brisbane Street, LAUNCESTON, TAS, 7250",Anaconda,502.0,20,5000.0,1,Pharmacy 'TerryWhite Chemmart Launceston City' is 502m from large shopping centre 'Anaconda',pharmacy 502m from centre
119,0.6,Item 124,TAS,Chemist Warehouse Racecourse,"1-3 Innes Street, LAUNCESTON, TAS, 7250",Gateway Shopping Centre (Launceston),624.0,28,7000.0,1,Pharmacy 'Chemist Warehouse Racecourse' is 624m from large shopping centre 'Gateway Shopping Centre (Launceston)',pharmacy 624m from centre
120,0.6,Item 124,TAS,Priceline Pharmacy Launceston Plaza,"Launceston Shopping Plaza, Shop 1, 15 Racecourse Crescent, LAUNCESTON, TAS, 7250",Gateway Shopping Centre (Launceston),717.0,28,7000.0,1,Pharmacy 'Priceline Pharmacy Launceston Plaza' is 717m from large shopping centre 'Gateway Shopping Centre (Launceston)',pharmacy 717m from centre
121,0.6,Item 124,TAS,Fullife Pharmacy - Ulverstone,"24 King Edward Street, ULVERSTONE, TAS, 7315",Home Timber & Hardware Ulverstone Building Centre,723.0,20,5000.0,1,Pharmacy 'Fullife Pharmacy - Ulverstone' is 723m from large shopping centre 'Home Timber & Hardware Ulverstone Building Centre',pharmacy 723m from centre
122,0.6,Item 124,TAS,Chemist Warehouse Glenorchy,"371 Main Road, GLENORCHY, TAS, 7010",Club Hotel,607.0,20,5000.0,1,Pharmacy 'Chemist Warehouse Glenorchy' is 607m from large shopping centre 'Club Hotel',pharmacy 607m from centre
123,0.6,Item 124,TAS,Chemist Warehouse Glenorchy,"371 Main Road, GLENORCHY, TAS, 7010",Thirsty Camel Glenorchy,656.0,20,5000.0,1,Pharmacy 'Chemist Warehouse Glenorchy' is 656m from large shopping centre 'Thirsty Camel Glenorchy',pharmacy 656m from centre
124,0.6,Item 124,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",Glenorchy Central,611.0,40,10000.0,1,Pharmacy 'Priceline Pharmacy Glenorchy' is 611m from large shopping centre 'Glenorchy Central',pharmacy 611m from centre
125,0.6,Item 124,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",Club Hotel,773.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy Glenorchy' is 773m from large shopping centre 'Club Hotel',pharmacy 773m from centre
126,0.6,Item 124,TAS,Blooms the Chemist Glenorchy,"Shop 14 Centro Glenorchy, GLENORCHY, TAS, 7010",Glenorchy Central,540.0,40,10000.0,1,Pharmacy 'Blooms the Chemist Glenorchy' is 540m from large shopping centre 'Glenorchy Central',pharmacy 540m from centre
127,0.6,Item 124,TAS,Blooms the Chemist Glenorchy,"Shop 14 Centro Glenorchy, GLENORCHY, TAS, 7010",Club Hotel,732.0,20,5000.0,1,Pharmacy 'Blooms the Chemist Glenorchy' is 732m from large shopping centre 'Club Hotel',pharmacy 732m from centre
