opportunity_id,state,opportunity_lat,opportunity_lng,rule,confidence,poi_name,nearest_pharmacy_km,composite_score,property_address,rent_display,rent_pa,rent_sqm,floor_area_sqm,property_type,listing_url,agent,suitability_score,suitability_note
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"The Ember, 330 Hampshire Road,Sunshine, VIC 3020",Contact Agents,0,0,220,Shops & Retail | Offices | Other,https://www.realcommercial.com.au/for-lease/property-the-ember-330-hampshire-road-sunshine-vic-3020-505056548,,95,"Retail/Medical, 220m² ideal"
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"1B & 2B, 45 Bunnett Street,Sunshine North, VIC 3020","$52,000 p.a + GST + Outgoings",52000.0,130.0,400,Shops & Retail | Warehouse | Industrial | Showrooms,https://www.realcommercial.com.au/for-lease/property-1b-2b-45-bunnett-street-sunshine-north-vic-3020-505045076,,95,"Retail/Medical, 400m² ideal"
NSW_089,NSW,-33.7751647,151.2914012,Item 135,55%,South Pacific Private Hospital,0.76,8599.9,"3/93-95 North Steyne,Manly, NSW 2095","$145,000 + GST Net",145000.0,906.25,160,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-3-93-95-north-steyne-manly-nsw-2095-505047720,,95,"Retail/Medical, 160m² ideal"
NSW_089,NSW,-33.7751647,151.2914012,Item 135,55%,South Pacific Private Hospital,0.76,8599.9,"Address available on request,Manly, NSW 2095",Contact Agent,0,0,106,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-manly-nsw-2095-504982460,,95,"Retail/Medical, 106m² ideal"
NSW_089,NSW,-33.7751647,151.2914012,Item 135,55%,South Pacific Private Hospital,0.76,8599.9,"2/43-45 North Steyne, Manly, NSW 2095",Contact Agent,0,0,188,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-2-43-45-north-steyne-manly-nsw-2095-505051368,,95,"Retail/Medical, 188m² ideal"
NSW_087,NSW,-33.8051362,151.2845238,Item 135,55%,Manly Waters Private Hospital,0.77,7282.0,"3/93-95 North Steyne,Manly, NSW 2095","$145,000 + GST Net",145000.0,906.25,160,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-3-93-95-north-steyne-manly-nsw-2095-505047720,,95,"Retail/Medical, 160m² ideal"
NSW_087,NSW,-33.8051362,151.2845238,Item 135,55%,Manly Waters Private Hospital,0.77,7282.0,"Address available on request,Manly, NSW 2095",Contact Agent,0,0,106,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-manly-nsw-2095-504982460,,95,"Retail/Medical, 106m² ideal"
NSW_087,NSW,-33.8051362,151.2845238,Item 135,55%,Manly Waters Private Hospital,0.77,7282.0,"2/43-45 North Steyne, Manly, NSW 2095",Contact Agent,0,0,188,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-2-43-45-north-steyne-manly-nsw-2095-505051368,,95,"Retail/Medical, 188m² ideal"
QLD_103,QLD,-27.564359449999998,153.03956425,Item 134,55%,Reliance Fresh,1.24,5527.9,"Office, 59 McCarthy Road, Salisbury, QLD 4107","$25,245 P.A. excluding GST",25245.0,165.0,153,Shops & Retail | Offices | Showrooms,https://www.realcommercial.com.au/for-lease/property-office-59-mccarthy-road-salisbury-qld-4107-504892272,,95,"Retail/Medical, 153m² ideal"
QLD_103,QLD,-27.564359449999998,153.03956425,Item 134,55%,Reliance Fresh,1.24,5527.9,"192 Evans Road, Salisbury, QLD 4107",Market Beating Deals on Offer,0,0,155,Shops & Retail | Offices | Showrooms,https://www.realcommercial.com.au/for-lease/property-192-evans-road-salisbury-qld-4107-503194458,,95,"Retail/Medical, 155m² ideal"
QLD_102,QLD,-27.4673741,153.1544016,Item 133,65%,IGA Wondall Road,0.82,5084.1,"82 Berrima Street,Wynnum, QLD 4178",Please contact agent,0,0,121,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-82-berrima-street-wynnum-qld-4178-505051816,,95,"Retail/Medical, 121m² ideal"
VIC_069,VIC,-37.8572274,145.1237031,Item 133,65%,Andrew Street Grocer,1.01,4858.6,"Commercial Kitchen, Part, 67-69 Argyle Street,St Kilda, VIC 3182",Upon application,0,0,319,Shops & Retail | Other,https://www.realcommercial.com.au/for-lease/property-commercial-kitchen-part-67-69-argyle-street-st-kilda-vic-3182-505047808,,95,"Retail/Medical, 319m² ideal"
VIC_069,VIC,-37.8572274,145.1237031,Item 133,65%,Andrew Street Grocer,1.01,4858.6,"2 Acland Street,St Kilda, VIC 3182",Contact Agent,0,0,300,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-2-acland-street-st-kilda-vic-3182-505054004,,95,"Retail/Medical, 300m² ideal"
