name,latitude,longitude,openDate,closeDate,private,active,bpl_uuid,uuid,location_type_id
HealthSense Pharmacy Surf Beach,-35.757286,150.209686,644198400000,,0,1,I/ksfH2PEfCuUALpWEZeRw==,I/ksfH2PEfCuUALpWEZeRw==,
HealthSmart Pharmacy - Box Hill,-37.813938,145.11908,644198400000,,0,1,I/k5AH2PEfCuUALpWEZeRw==,I/k5AH2PEfCuUALpWEZeRw==,
Healthsmart Pharmacy - North St Marys,-33.756657,150.781296,644198400000,,0,1,I/lD9X2PEfCuUALpWEZeRw==,I/lD9X2PEfCuUALpWEZeRw==,
Healthsmart Pharmacy - The Alfred,-37.845741,144.982162,644198400000,,0,1,I/lOsX2PEfCuUALpWEZeRw==,I/lOsX2PEfCuUALpWEZeRw==,
HealthSmart Pharmacy Bendigo,-36.748936,144.28196699999998,644198400000,,0,1,I/lZI32PEfCuUALpWEZeRw==,I/lZI32PEfCuUALpWEZeRw==,
HealthSmart Pharmacy Melbourne,-37.798874,144.955292,644198400000,,0,1,I/ljoX2PEfCuUALpWEZeRw==,I/ljoX2PEfCuUALpWEZeRw==,
HealthSmart Pharmacy University,-37.798922999999995,144.962662,644198400000,,0,1,I/lt8n2PEfCuUALpWEZeRw==,I/lt8n2PEfCuUALpWEZeRw==,
HealthSmart Pharmacy VCCC,-37.799774,144.956482,644198400000,,0,1,I/l4aX2PEfCuUALpWEZeRw==,I/l4aX2PEfCuUALpWEZeRw==,
Healthways Chemist,-32.119137,116.00130499999999,644198400000,,0,1,I/mC3n2PEfCuUALpWEZeRw==,I/mC3n2PEfCuUALpWEZeRw==,
Healthy Living Discount Pharmacy - St Marys,-33.763531,150.775253,644198400000,,0,1,I/mNUH2PEfCuUALpWEZeRw==,I/mNUH2PEfCuUALpWEZeRw==,
HealthyLife Pharmacy Brisbane,-27.417928999999997,153.016373,644198400000,,0,1,I/mXq32PEfCuUALpWEZeRw==,I/mXq32PEfCuUALpWEZeRw==,
HEALTHYWORLD PHARMACY,-27.500066999999998,153.04501299999998,644198400000,,0,1,I/miCH2PEfCuUALpWEZeRw==,I/miCH2PEfCuUALpWEZeRw==,
Healthyworld Pharmacy - Garden City,-27.563523999999997,153.083023,644198400000,,0,1,I/ms0H2PEfCuUALpWEZeRw==,I/ms0H2PEfCuUALpWEZeRw==,
Healthyworld Pharmacy Chermside,-27.38316,153.033096,644198400000,,0,1,I/m3cH2PEfCuUALpWEZeRw==,I/m3cH2PEfCuUALpWEZeRw==,
Healthyworld Pharmacy Coomera,-33.490581999999996,151.430939,644198400000,,0,1,I/nW7H2PEfCuUALpWEZeRw==,I/nW7H2PEfCuUALpWEZeRw==,
Healthyworld Pharmacy Garden City,-27.563499,153.08317599999998,644198400000,,0,1,I/nhO32PEfCuUALpWEZeRw==,I/nhO32PEfCuUALpWEZeRw==,
Healthyworld Pharmacy Riverlink,-27.607059,152.757874,644198400000,,0,1,I/nrfH2PEfCuUALpWEZeRw==,I/nrfH2PEfCuUALpWEZeRw==,
Heathcote Pharmacy,-36.926105,144.71108999999998,644198400000,,0,1,I/n1uH2PEfCuUALpWEZeRw==,I/n1uH2PEfCuUALpWEZeRw==,
Heatherhill Road Pharmacy,-38.159335999999996,145.14108299999998,644198400000,,0,1,I/oAGX2PEfCuUALpWEZeRw==,I/oAGX2PEfCuUALpWEZeRw==,
Heathershaws Compounding Pharmacy,-37.864418,145.05014,644198400000,,0,1,I/oKVX2PEfCuUALpWEZeRw==,I/oKVX2PEfCuUALpWEZeRw==,
Heaths Road Pharmacy,-37.877345999999996,144.677887,644198400000,,0,1,I/oUqX2PEfCuUALpWEZeRw==,I/oUqX2PEfCuUALpWEZeRw==,
