"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","GLA"
"Supermarket and Grocery Stores","ALDI","ALDI Whyalla","10 - 14 Ekblom Street","Whyalla Norrie","5608","South Australia","Australia","891.0","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Port Pirie","8 Wandearah Road","Port Pirie","5540","South Australia","Australia","926.86","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Kadina","10 Frances Terrace","Kadina","5554","South Australia","Australia","992.06","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Nuriootpa","Cnr Murray Street, Gawler Street","Nuriootpa","5355","South Australia","Australia","1096.09","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Gawler","5 Tod Street, Gawler, SA, Australia","Gawler","5118","South Australia","Australia","1097.46",""
"Supermarket and Grocery Stores","ALDI","ALDI Evanston","1 Tulloch Road","Evanston","5116","South Australia","Australia","1099.21","1700"
"Supermarket and Grocery Stores","ALDI","ALDI Munno Para West","LOT 35 Andrews Road, Munno Para West, SA, Australia","Munno Para West","5115","South Australia","Australia","1100.19",""
"Supermarket and Grocery Stores","ALDI","ALDI Smithfield","12 George McCallum Road","Smithfield","5114","South Australia","Australia","1103.42","1700"
"Supermarket and Grocery Stores","ALDI","ALDI Blakeview","15 Main Terrace","Blakeview","5114","South Australia","Australia","1103.59","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Parafield Gardens","88 - 94 Lavender Drive","Parafield Gardens","5107","South Australia","Australia","1109.38","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Salisbury","41 - 49 Park Terrace","Salisbury","5108","South Australia","Australia","1109.45","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Port Adelaide","200 - 220 Commercial Road","Port Adelaide","5015","South Australia","Australia","1112.1","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Mawson Lakes","1 - 7 Main Street","Mawson Lakes","5095","South Australia","Australia","1112.79","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Golden Grove","Cnr Helicon Drive, The Golden Way","Golden Grove","5125","South Australia","Australia","1114.14","1500"
"Supermarket and Grocery Stores","ALDI","ALDI West Lakes","44 Frederick Road","West Lakes","5021","South Australia","Australia","1115.24","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Ingle Farm","237 Montague Road","Ingle Farm","5098","South Australia","Australia","1116.13","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Kilkenny","470 Torrens Road","Kilkenny","5009","South Australia","Australia","1116.67","1900"
"Supermarket and Grocery Stores","ALDI","ALDI Kilburn","400 Churchill Road","Kilburn","5084","South Australia","Australia","1116.92","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Modbury","972 - 976 North East Road","Modbury","5092","South Australia","Australia","1117.94","1500"
"Supermarket and Grocery Stores","ALDI","ALDI St Agnes","1244 North East Road","St Agnes","5097","South Australia","Australia","1118.1","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Findon","263 - 271 Grange Road","Findon","5023","South Australia","Australia","1118.89","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Gilles Plains","Cnr Sudholz Road, North East Road","Gilles Plains","5086","South Australia","Australia","1118.94","1800"
"Supermarket and Grocery Stores","ALDI","ALDI Prospect","106 Main North Road","Prospect","5082","South Australia","Australia","1120.21","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Adelaide","2 Butler Boulevard","Adelaide Airport","5950","South Australia","Australia","1121.43","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Newton","174 - 178 Gorge Road","Newton","5074","South Australia","Australia","1122.17","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Glynde","19 Glynburn Road, Glynde, SA, Australia","Glynde","5070","South Australia","Australia","1122.56","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Norwood","76 Magill Road","Norwood","5067","South Australia","Australia","1123.79","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Kensington Park","398 Magill Road","Kensington Park","5068","South Australia","Australia","1124.84","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Glenelg","601 Anzac Highway","Glenelg North","5045","South Australia","Australia","1125.33","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Plympton","Cnr Anzac Highway, Marion Road","Plympton","5038","South Australia","Australia","1125.74","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Glenunga","499 - 505 Portrush Road","Glenunga","5064","South Australia","Australia","1127.49","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Hawthorn","198 Belair Road","Hawthorn","5062","South Australia","Australia","1128.79","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Clovelly Park","1160 South Road","Clovelly Park","5042","South Australia","Australia","1129.55","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Oaklands Park","297 Diagonal Road","Oaklands Park","5046","South Australia","Australia","1130.33","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Blackwood","198 - 200 Main Road","Blackwood","5051","South Australia","Australia","1133.3","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Hallett Cove","246 Lonsdale Road","Hallett Cove","5158","South Australia","Australia","1135.47","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Stirling","3 - 5 Pomona Road","Stirling","5152","South Australia","Australia","1136.07","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Morphett Vale","Cnr Sherriffs Road, Hillier Road","Morphett Vale","5162","South Australia","Australia","1138.44","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Woodcroft","Cnr Panalatinga Road, Bains Road","Morphett Vale","5162","South Australia","Australia","1140.22","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Noarlunga","Cnr Beach Road, Goldsmith Drive","Noarlunga Centre","5168","South Australia","Australia","1141.36","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Seaford Heights","1 Vista Parade","Seaford Heights","5169","South Australia","Australia","1145.96","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Mount Barker","Cnr Hutchinson Street, Morphett Street","Mount Barker","5251","South Australia","Australia","1148.11","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Aldinga","1 Main South Road","Aldinga","5173","South Australia","Australia","1153.23","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Berri","32 Kay Avenue","Berri","5343","South Australia","Australia","1159.54","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Murray Bridge","105 - 109 Adelaide Road","Murray Bridge","5253","South Australia","Australia","1171.11","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Hayborough","56 - 60 Adelaide Road","Hayborough","5211","South Australia","Australia","1185.64","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Mildura","858 Fifteenth Street","Mildura","3500","Victoria","Australia","1244.12","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Swan Hill","Cnr Campbell Street, Rutherford Street","Swan Hill","3585","Victoria","Australia","1425.38","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Horsham","67 - 73 Hamilton Street","Horsham","3400","Victoria","Australia","1462.99","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Mt Gambier","58 - 74 Commercial Street East","Mount Gambier","5290","South Australia","Australia","1500.3","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Thuringowa","13 Hervey Range Road, Thuringowa Central, QLD, Australia","Thuringowa Central","4817","Queensland","Australia","1523.03","2300"
"Supermarket and Grocery Stores","ALDI","ALDI Griffith","4 - 6 Oakes Road","Griffith","2680","New South Wales","Australia","1523.53","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Burdell","6 Market Street, Bushland Beach, QLD, Australia","Bushland Beach","4818","Queensland","Australia","1524.27",""
"Supermarket and Grocery Stores","ALDI","ALDI Hamilton","French Street 104 - 108","Hamilton","3300","Victoria","Australia","1548.39","1700"
"Supermarket and Grocery Stores","ALDI","ALDI Ararat","Moore Street 41 - 47","Ararat","3377","Victoria","Australia","1552.46","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Echuca","Anstruther Street 218 - 222","Echuca","3564","Victoria","Australia","1562.92","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Leeton","1 Acacia Avenue","Leeton","2705","New South Wales","Australia","1565.91","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Maryborough","111 Burke Street","Maryborough","3465","Victoria","Australia","1576.63","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Eaglehawk","4 - 8 Peg Leg Road","Eaglehawk","3556","Victoria","Australia","1579.0","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Epsom","182 - 192 Midland Highway","Epsom","3551","Victoria","Australia","1581.93","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Kangaroo Flat","Cnr High Street, Lockwood Road","Kangaroo Flat","3555","Victoria","Australia","1585.12","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Portland","29 Henty Street","Portland","3305","Victoria","Australia","1585.67","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Strathdale","Edwards Road 90 - 92","Kennington","3550","Victoria","Australia","1586.82","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Wendouree","21 Learmonth Road","Wendouree","3355","Victoria","Australia","1622.67","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Dubbo","176 Talbragar Street","Dubbo","2830","New South Wales","Australia","1622.76","1900"
"Supermarket and Grocery Stores","ALDI","ALDI Mooroopna","McLennan Street 97 - 101","Mooroopna","3629","Victoria","Australia","1622.97","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Alfredton","Sturt Street 1611 - 161","Alfredton","3350","Victoria","Australia","1624.4","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Shepparton","428 Wyndham Street","Shepparton","3630","Victoria","Australia","1624.67","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Ballarat","102 -114 Creswick Road","Ballarat Central","3350","Victoria","Australia","1626.63","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Parkes","Cnr Clarinda Street, Caledonia Street","Parkes","2870","New South Wales","Australia","1626.79","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Sebastopol","Albert Street 31 - 35","Sebastopol","3356","Victoria","Australia","1628.29","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Warrnambool","251 - 257 Lava Street","Warrnambool","3280","Victoria","Australia","1629.03","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Warrnambool","154 Raglan Parade","Warrnambool","3280","Victoria","Australia","1631.17","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Yarrawonga","Frank Drive, Yarrawonga, VIC, Australia","","","Victoria","Australia","1638.84",""
"Supermarket and Grocery Stores","ALDI","ALDI Seymour","Tallarook Street 32 - 34","Seymour","3660","Victoria","Australia","1657.65","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Gisborne","Aitken Street 45","Gisborne","3437","Victoria","Australia","1662.95","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Andergrove","LOT 710 Cutler Drive, Andergrove, QLD, Australia","Andergrove","4740","Queensland","Australia","1666.53","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Kilmore","97 Sydney Street","Kilmore","3764","Victoria","Australia","1667.73","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Bacchus Marsh","158 - 196 Main Street","Bacchus Marsh","3340","Victoria","Australia","1669.72","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Glenfield Park","Cnr Tanda Place, Pinaroo Drive","Glenfield Park","2650","New South Wales","Australia","1673.22","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Wagga Wagga","11 Berry Street","Wagga Wagga","2650","New South Wales","Australia","1674.77","1900"
"Supermarket and Grocery Stores","ALDI","ALDI Benalla","141 - 153 Bridge Street","Benalla","3672","Victoria","Australia","1676.1","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Sunbury","Gap Road 112 - 126","Sunbury","3429","Victoria","Australia","1677.48","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Melton West","533 High Street","Melton West","3337","Victoria","Australia","1677.71","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Melton","High Street 394 - 406","Melton","3337","Victoria","Australia","1678.45","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Wallan","High Street 13 - 17","Wallan","3756","Victoria","Australia","1680.03","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Colac","Hesse Street 62 - 70","Colac","3250","Victoria","Australia","1681.14","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Wangaratta","13 - 15 Chisholm Street","Wangaratta","3677","Victoria","Australia","1684.43","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Craigieburn","340 Craigieburn Road","Craigieburn","3064","Victoria","Australia","1690.62","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Taylors Lakes","399 Melton Highway","Taylors Lakes","3038","Victoria","Australia","1691.42","1400"
"Supermarket and Grocery Stores","ALDI","ALDI 10 Riley Road","650 Hume Highway, Craigieburn, VIC, Australia","Craigieburn","3064","Victoria","Australia","1691.77",""
"Supermarket and Grocery Stores","ALDI","ALDI Caroline Springs","29 - 35 Lake Street","Caroline Springs","3023","Victoria","Australia","1692.03","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Burnside","5 - 25 Westwood Drive","Burnside","3023","Victoria","Australia","1695.11","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Keilor Downs","80 Taylors Road","Keilor Downs","3038","Victoria","Australia","1695.3","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Roxburgh Park","250 Somerton Road","Roxburgh Park","3064","Victoria","Australia","1695.39","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Tarneit","177 Hummingbird Boulevard","Tarneit","3029","Victoria","Australia","1695.4","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Deer Park","Cnr Neale Road, Station Road","Cairnlea","3023","Victoria","Australia","1695.43","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Gladstone Park","8 - 34 Gladstone Park Drive","Gladstone Park","3043","Victoria","Australia","1696.69","2200"
"Supermarket and Grocery Stores","ALDI","ALDI Wyndham Vale","Greens Road 209","Wyndham Vale","3024","Victoria","Australia","1697.27","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Tarneit","540 Derrimut Road","Tarneit","3029","Victoria","Australia","1697.91","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Broadmeadows","1099 - 116 Pascoe Vale Road","Broadmeadows","3047","Victoria","Australia","1698.11","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Epping","Harvest Home Road, Edgars Road Cnr","Epping","3076","Victoria","Australia","1698.42","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Young","11 Zouch St","Young","2594","New South Wales","Australia","1698.58","1100"
"Supermarket and Grocery Stores","ALDI","ALDI Airport West","29 - 35 Louis Street","Airport West","3042","Victoria","Australia","1698.92","1100"
"Supermarket and Grocery Stores","ALDI","ALDI Corio","Princes Highway 465","Corio","3214","Victoria","Australia","1699.56","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Tarneit","380 Sayers Road","Tarneit","3029","Victoria","Australia","1699.66","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Bell Park","9 / 222 Anakie Road","Bell Park","3215","Victoria","Australia","1699.75","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Keilor East","Cnr Milleara Road, Buckley Street","Keilor East","3033","Victoria","Australia","1700.37","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Werribee","Cnr Derrimut Road, Heaths Road","Hoppers Crossing","3029","Victoria","Australia","1700.39","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Truganina","33 Prosperity Street, Truganina, VIC, Australia","","3029","Victoria","Australia","1700.75",""
"Supermarket and Grocery Stores","ALDI","ALDI Campbellfield","Cnr Sydney Road, Mahoneys Road","Campbellfield","3061","Victoria","Australia","1701.08","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Sunshine","324 - 328 Hampshire Road","Sunshine","3020","Victoria","Australia","1701.59","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Werribee","77 - 83 Synott Street","Werribee","3030","Victoria","Australia","1701.66","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Epping","571 - 583 High Street","Epping","3076","Victoria","Australia","1701.74","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Epping","347 - 371 Dalton Road","Epping","3076","Victoria","Australia","1702.89","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Geelong West","Albert Street 117 - 127","Geelong West","3218","Victoria","Australia","1703.63","1100"
"Supermarket and Grocery Stores","ALDI","ALDI West Footscray","67 Ashley Street","Braybrook","3019","Victoria","Australia","1703.99","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Point Cook","4 Main Street","Point Cook","3030","Victoria","Australia","1704.26","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Coburg North","1009 - 101 Sydney Road","Coburg North","3058","Victoria","Australia","1704.26","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Mill Park","400 McDonalds Road","Mill Park","3082","Victoria","Australia","1704.48","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Lavington","385 - 387 Wagga Road","Lavington","2641","New South Wales","Australia","1704.88","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Cowra","Cnr Fitzroy Street, Railway Lane","Cowra","2794","New South Wales","Australia","1705.05","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Maribyrnong","Edgewater Boulevard 11","Maribyrnong","3032","Victoria","Australia","1705.11","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Moonee Ponds","14 - 16 Hall Street","Moonee Ponds","3039","Victoria","Australia","1705.39","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Altona Meadows","1 Central Avenue","Altona Meadows","3028","Victoria","Australia","1705.61","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Wodonga","Elgin Boulevard 72","Wodonga","3690","Victoria","Australia","1705.81","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Albury","Young Street 617 - 621","Albury","2640","New South Wales","Australia","1705.83","1100"
"Supermarket and Grocery Stores","ALDI","ALDI Altona Gate","124 - 134 Millers Road","Altona North","3025","Victoria","Australia","1706.12","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Sanctuary Lakes","300 Point Cook Road","Point Cook","3030","Victoria","Australia","1706.25","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Belmont","High Street 149 - 151","Belmont","3216","Victoria","Australia","1706.94","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Altona North","Millers Road 302 - 330","Altona North","3025","Victoria","Australia","1707.41","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Highton","South Valley Road 245 - 253","Highton","3216","Victoria","Australia","1707.43","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Bundoora","584 - 604 Grimshaw Street","Bundoora","3083","Victoria","Australia","1707.93","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Preston","Cnr Cramer Street, Mary Street","Preston","3072","Victoria","Australia","1707.95","1400"
"Supermarket and Grocery Stores","ALDI","ALDI White Box Rise Wodonga","Cnr Victoria Cross Parade, Wark Street","Wodonga","3690","Victoria","Australia","1708.09","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Brunswick","292 - 298 Sydney Road","Brunswick","3056","Victoria","Australia","1708.09","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Reservoir","850 Plenty Road","Reservoir","3073","Victoria","Australia","1708.21","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Grovedale","142 Torquay Road","Grovedale","3216","Victoria","Australia","1708.54","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Preston South","15 Dundas Street","Preston","3072","Victoria","Australia","1708.93","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Newcomb","Cnr Newcomb S/C Bellarine Hwy","Newcomb","3219","Victoria","Australia","1709.22","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Northland","2 - 50 Murray Road","Preston","3072","Victoria","Australia","1709.36","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Northcote","Cnr High Street, Seperation Street","Northcote","3070","Victoria","Australia","1710.13","1400"
"Supermarket and Grocery Stores","ALDI","ALDI West Melbourne","528 Spencer St","West Melbourne","3003","Victoria","Australia","1710.37","2400"
"Supermarket and Grocery Stores","ALDI","ALDI Greensborough","25 Main Street","Greensborough","3088","Victoria","Australia","1710.7","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Heidelberg West","318 Bell Street","Heidelberg West","3081","Victoria","Australia","1710.9","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Melbourne","501 Swanston St","Melbourne","3000","Victoria","Australia","1711.08","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Orange","167 - 177 Peisley Street","Orange","2800","New South Wales","Australia","1711.41","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Fitzroy","247 Johnston Street","Fitzroy","3065","Victoria","Australia","1711.65","1400"
"Supermarket and Grocery Stores","ALDI","ALDI South Melbourne","100 Market Street","Southbank","3006","Victoria","Australia","1712.69","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Warringal","56 Burgundy Street","Heidelberg","3084","Victoria","Australia","1713.1","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Abbotsford","313 - 325 Victoria Street","Abbotsford","3067","Victoria","Australia","1713.29","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Armstrong Creek","Central Boulevard 35 - 43","Armstrong Creek","3217","Victoria","Australia","1713.29","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Lower Plenty","45 Main Road","Lower Plenty","3093","Victoria","Australia","1713.35","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Leopold","Bellarine Highway 641 - 659","Leopold","3224","Victoria","Australia","1713.94","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Eltham","6 - 20 Luck Street","Eltham","3095","Victoria","Australia","1714.42","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Prahran","34 Elizabeth Street","South Yarra","3141","Victoria","Australia","1716.15","2100"
"Supermarket and Grocery Stores","ALDI","ALDI Templestowe Lower","299 - 301 Manningham Road","Templestowe Lower","3107","Victoria","Australia","1717.11","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Torquay","Winki Way 14 - 18","Torquay","3228","Victoria","Australia","1717.28","1400"
"Supermarket and Grocery Stores","ALDI","ALDI St Kilda","135 Inkerman Street","St Kilda","3182","Victoria","Australia","1717.39","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Balwyn North","Cnr Doncaster Road, Tannock Street","Balwyn North","3104","Victoria","Australia","1717.57","1900"
"Supermarket and Grocery Stores","ALDI","ALDI Camberwell","15 - 25 Station Street","Camberwell","3124","Victoria","Australia","1718.72","1400"
"Supermarket and Grocery Stores","ALDI","ALDI The Pines","181 Reynolds Road","Doncaster East","3109","Victoria","Australia","1719.57","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Drysdale","Murradoc Road 12 - 22","Drysdale","3222","Victoria","Australia","1719.59","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Doncaster East","3 - 11 Mitchell Street","Doncaster East","3109","Victoria","Australia","1720.48","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Caulfield South","348-354 Hawthorn Road, Caulfield South, VIC, Australia","Caulfield South","3162","Victoria","Australia","1721.25",""
"Supermarket and Grocery Stores","ALDI","ALDI Mudgee","97 - 99 Church Street","Mudgee","2850","New South Wales","Australia","1722.26","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Box Hill South","391 - 395 Station Street","Box Hill South","3128","Victoria","Australia","1722.3","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Blackburn North","66-104 Springfield Rd","Blackburn","3130","Victoria","Australia","1722.68","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Carnegie","2 - 18 Koornang Road","Carnegie","3163","Victoria","Australia","1723.13","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Gunnedah","185 Conadilly Street","Gunnedah","2380","New South Wales","Australia","1723.86","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Ocean Grove","12 - 22 Coastal Boulevard","Ocean Grove","3226","Victoria","Australia","1724.08","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Bentleigh","285 - 305 Centre Road","Bentleigh","3204","Victoria","Australia","1724.46","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Chadstone","JB Hi-Fi, Chadstone, VIC, Australia","Chadstone","","Victoria","Australia","1724.7",""
"Supermarket and Grocery Stores","ALDI","ALDI Malvern East","26 Capon Street, Malvern East, VIC, Australia","Malvern East","3145","Victoria","Australia","1724.77","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Allenstown","167 Gladstone Road","Allenstown","4700","Queensland","Australia","1725.3","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Forest Hill","3131 Canterbury Road","Forest Hill","3131","Victoria","Australia","1725.36","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Burwood East","Cnr Burwood Highway, Blackburn Road","Burwood East","3151","Victoria","Australia","1726.04","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Ringwood","Cnr Maroondah Highway, New Street","Ringwood","3134","Victoria","Australia","1727.2","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Cheltenham","280 - 282 Bay Road","Cheltenham","3192","Victoria","Australia","1727.61","1700"
"Supermarket and Grocery Stores","ALDI","ALDI Chirnside Park","Cnr Kimberly Drive, El Centro St","Chirnside Park","3116","Victoria","Australia","1727.68","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Park Avenue","Mycar, Berserker, QLD, Australia","Berserker","","Queensland","Australia","1727.73",""
"Supermarket and Grocery Stores","ALDI","ALDI Vermont South","495 Burwood Highway","Vermont South","3133","Victoria","Australia","1728.03","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Glen Waverley","235 Springvale Road","Glen Waverley","3150","Victoria","Australia","1728.62","2200"
"Supermarket and Grocery Stores","ALDI","ALDI Croydon","15 / 5 Kent Avenue","Croydon","3136","Victoria","Australia","1728.75","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Southland","1239 Nepean Highway","Cheltenham","3192","Victoria","Australia","1729.09","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Lilydale","33 Hutchinson Street","Lilydale","3140","Victoria","Australia","1730.16","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Wheelers Hill","Cnr Springvale Road, Ferntree Gully Road","Glen Waverley","3150","Victoria","Australia","1731.02","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Mentone","27 - 29 / Nepean Hwy","Mentone","3194","Victoria","Australia","1731.22","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Kilsyth","540 Mount Dandenong Rd","Kilsyth","3137","Victoria","Australia","1731.42","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Healesville","175 Maroondah Highway","Healesville","3777","Victoria","Australia","1731.52","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Bayswater","10 - 14 High Street","Bayswater","3153","Victoria","Australia","1731.99","1200"
"Supermarket and Grocery Stores","ALDI","ALDI Moorabbin Airport","288 Centre Dandenong Road","Moorabbin Airport","3194","Victoria","Australia","1732.17","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Wantirna South","425 Burwood Hwy","Wantirna South","3152","Victoria","Australia","1732.47","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Springvale","754 - 768 Princes Highway","Springvale","3171","Victoria","Australia","1734.25","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Springvale South","792 - 806 Heatherton Road","Springvale South","3172","Victoria","Australia","1734.49","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Scoresby","800 Stud Road","Scoresby","3179","Victoria","Australia","1734.79","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Mordialloc","542 Main Street","Mordialloc","3195","Victoria","Australia","1734.79","1500"
